"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-19","73.04","73.15","73.53","72.67","","-0.35%"
"2024-11-18","73.30","70.80","73.47","70.70","333.85K","3.18%"
"2024-11-15","71.04","72.28","72.49","70.83","307.47K","-2.09%"
"2024-11-14","72.56","72.12","73.22","71.79","264.41K","0.39%"
"2024-11-13","72.28","71.78","72.63","70.72","388.33K","0.54%"
"2024-11-12","71.89","71.97","72.82","71.55","317.34K","0.08%"
"2024-11-11","71.83","73.85","74.13","71.57","366.90K","-2.76%"
"2024-11-8","73.87","75.55","75.61","73.44","324.16K","-2.33%"
"2024-11-7","75.63","74.99","76.08","74.02","397.04K","0.95%"
"2024-11-6","74.92","75.30","75.98","73.34","467.56K","-0.81%"
"2024-11-5","75.53","75.00","76.24","74.90","296.48K","0.60%"
"2024-11-4","75.08","74.00","75.40","73.88","299.39K","2.71%"
"2024-11-1","73.10","74.11","74.94","72.89","336.96K","-0.08%"
"2024-10-31","73.16","72.85","73.38","72.20","14.27K","0.84%"
"2024-10-30","72.55","71.39","73.12","71.08","90.92K","2.01%"
"2024-10-29","71.12","72.00","72.60","70.72","108.89K","-0.42%"
"2024-10-28","71.42","72.77","73.28","71.18","317.18K","-5.57%"
"2024-10-25","75.63","74.30","75.73","73.81","276.76K","2.16%"
"2024-10-24","74.03","74.91","76.08","73.64","264.33K","-0.71%"
"2024-10-23","74.56","75.33","75.64","74.08","284.68K","-1.40%"
"2024-10-22","75.62","73.84","75.91","73.23","278.31K","2.30%"
"2024-10-21","73.92","72.78","74.21","72.43","204.62K","1.71%"
"2024-10-18","72.68","74.07","74.48","72.13","218.95K","-1.76%"
"2024-10-17","73.98","74.10","74.48","72.83","215.41K","0.26%"
"2024-10-16","73.79","74.31","74.52","73.05","226.56K","-0.12%"
"2024-10-15","73.88","74.94","75.25","73.05","316.07K","-4.16%"
"2024-10-14","77.09","78.05","78.05","74.55","244.07K","-1.92%"
"2024-10-11","78.60","78.56","78.97","77.55","228.65K","-0.33%"
"2024-10-10","78.86","76.27","79.14","76.27","226.41K","3.59%"
"2024-10-9","76.13","77.12","77.57","74.78","267.53K","-0.86%"
"2024-10-8","76.79","80.37","80.53","75.99","378.84K","-4.43%"
"2024-10-7","80.35","77.47","80.55","76.66","278.56K","3.77%"
