"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-19","3,976.89","3,954.60","3,979.15","3,896.75","242.95K","0.67%"
"2024-11-18","3,950.38","3,982.10","4,034.06","3,931.19","306.78K","-0.46%"
"2024-11-15","3,968.83","4,025.65","4,049.07","3,968.83","247.40K","-1.75%"
"2024-11-14","4,039.62","4,101.22","4,118.17","4,034.94","230.15K","-1.73%"
"2024-11-13","4,110.89","4,059.59","4,121.07","4,059.59","240.48K","0.62%"
"2024-11-12","4,085.74","4,133.35","4,181.71","4,060.79","297.78K","-1.10%"
"2024-11-11","4,131.13","4,066.93","4,132.51","4,048.04","289.59K","0.66%"
"2024-11-8","4,104.05","4,192.08","4,200.91","4,094.16","332.35K","-1.00%"
"2024-11-7","4,145.70","3,987.27","4,146.15","3,984.67","341.44K","3.02%"
"2024-11-6","4,024.28","4,051.29","4,091.70","4,002.50","335.81K","-0.50%"
"2024-11-5","4,044.57","3,937.62","4,046.70","3,925.41","316.86K","2.53%"
"2024-11-4","3,944.76","3,897.71","3,944.76","3,891.21","229.24K","1.41%"
"2024-11-1","3,890.02","3,882.46","3,933.22","3,879.96","307.99K","-0.03%"
"2024-10-31","3,891.04","3,888.42","3,923.90","3,859.11","300.64K","0.04%"
"2024-10-30","3,889.45","3,904.16","3,926.06","3,864.31","219.44K","-0.90%"
"2024-10-29","3,924.65","3,970.01","3,991.31","3,921.58","217.29K","-1.00%"
"2024-10-28","3,964.16","3,953.11","3,964.16","3,917.20","216.16K","0.20%"
"2024-10-25","3,956.42","3,931.32","3,992.89","3,921.94","210.70K","0.70%"
"2024-10-24","3,928.83","3,950.90","3,957.98","3,914.09","174.72K","-1.12%"
"2024-10-23","3,973.21","3,955.32","4,012.18","3,939.10","245.87K","0.39%"
"2024-10-22","3,957.78","3,923.74","3,965.91","3,917.52","223.43K","0.57%"
"2024-10-21","3,935.20","3,946.90","3,979.26","3,896.17","291.19K","0.25%"
"2024-10-18","3,925.23","3,780.31","3,998.21","3,765.16","312.96K","3.62%"
"2024-10-17","3,788.22","3,853.84","3,882.07","3,787.75","212.31K","-1.13%"
"2024-10-16","3,831.59","3,806.14","3,877.75","3,805.09","218.87K","-0.63%"
"2024-10-15","3,855.99","3,942.53","3,967.87","3,855.99","242.49K","-2.66%"
"2024-10-14","3,961.34","3,915.22","3,979.54","3,868.78","307.58K","1.91%"
"2024-10-11","3,887.17","3,969.76","3,978.24","3,847.12","274.10K","-2.77%"
"2024-10-10","3,997.79","3,979.61","4,098.50","3,912.77","395.05K","1.06%"
"2024-10-9","3,955.98","4,168.84","4,197.60","3,942.51","482.27K","-7.05%"
