"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-19","369.68","368.83","370.80","368.70","0.00K","1.36%"
"2024-11-18","364.73","364.49","366.38","364.32","0.00K","-0.28%"
"2024-11-15","365.74","364.89","366.19","363.80","","0.05%"
"2024-11-14","365.55","364.74","367.17","363.46","","0.10%"
"2024-11-13","365.17","362.42","368.78","362.03","","-0.02%"
"2024-11-12","365.24","360.16","368.64","357.68","","1.10%"
"2024-11-11","361.26","358.18","361.65","355.22","","1.41%"
"2024-11-8","356.25","354.33","358.94","353.20","","1.22%"
"2024-11-7","351.96","347.79","353.71","347.11","","1.99%"
"2024-11-6","345.10","342.68","345.36","342.68","","0.81%"
"2024-11-5","342.33","340.50","342.33","340.04","","0.25%"
"2024-11-4","341.46","342.20","342.45","341.28","","0.18%"
"2024-11-1","340.84","337.81","341.27","337.56","","0.12%"
"2024-10-31","340.43","340.02","340.57","339.87","","-0.22%"
"2024-10-30","341.19","344.24","345.31","340.57","","-1.39%"
"2024-10-29","346.01","346.98","347.71","345.36","","-0.16%"
"2024-10-28","346.55","347.04","347.56","346.13","","-0.07%"
"2024-10-25","346.79","347.38","348.48","346.73","","-0.47%"
"2024-10-24","348.42","348.29","349.82","347.65","","0.35%"
"2024-10-23","347.19","346.12","348.51","346.12","","0.34%"
"2024-10-22","346.00","346.90","347.67","345.19","","-0.50%"
"2024-10-21","347.73","348.79","348.79","345.78","","-0.33%"
"2024-10-18","348.89","347.50","349.53","347.37","","0.45%"
"2024-10-17","347.34","345.78","348.54","345.78","","0.88%"
"2024-10-16","344.32","345.13","345.26","342.95","","0.12%"
"2024-10-15","343.91","346.75","347.98","343.69","","-0.50%"
"2024-10-14","345.64","344.30","346.01","343.57","","0.84%"
"2024-10-11","342.76","342.51","343.56","340.96","","0.33%"
"2024-10-10","341.62","343.67","344.79","341.32","","-0.34%"
"2024-10-9","342.79","342.01","342.93","340.69","","0.77%"
"2024-10-8","340.18","341.85","342.22","338.94","","-0.36%"
"2024-10-7","341.40","342.43","344.37","340.50","","-0.02%"
"2024-10-4","341.47","339.71","341.74","339.50","","0.37%"
"2024-10-3","340.20","340.87","342.33","339.61","","-0.18%"
"2024-10-2","340.83","341.25","343.15","339.41","","-0.30%"
"2024-10-1","341.86","341.99","342.56","339.88","","0.15%"
"2024-9-30","341.34","339.69","341.92","339.47","","0.37%"
"2024-9-27","340.08","340.47","341.04","339.23","","-0.36%"
"2024-9-26","341.30","340.71","343.45","340.36","","-0.06%"
"2024-9-25","341.50","343.49","343.49","339.68","","-0.71%"
"2024-9-24","343.94","344.89","345.58","342.77","","-0.20%"
"2024-9-23","344.63","340.70","344.85","340.55","","1.09%"
"2024-9-20","340.91","340.52","340.96","339.17","","0.12%"
"2024-9-19","340.50","335.75","341.26","335.74","","1.32%"
"2024-9-18","336.08","333.76","336.31","333.07","","0.40%"
"2024-9-17","334.73","333.46","334.88","333.14","","0.62%"
"2024-9-16","332.68","332.94","333.58","331.16","","-0.09%"
"2024-9-13","332.97","331.70","333.03","331.21","","0.43%"
"2024-9-12","331.53","331.04","332.08","329.51","","0.74%"
"2024-9-11","329.11","327.08","329.20","327.08","","0.70%"
"2024-9-10","326.83","325.96","327.22","324.94","","0.62%"
"2024-9-9","324.82","320.25","325.21","320.17","","1.16%"
"2024-9-6","321.09","322.08","323.69","320.58","","-0.44%"
"2024-9-5","322.51","322.08","323.15","320.06","","0.40%"
"2024-9-4","321.24","318.67","321.58","318.40","","-0.86%"
"2024-9-3","324.03","322.49","324.79","322.30","","0.52%"
"2024-9-2","322.34","320.58","322.60","320.49","","0.52%"
"2024-8-30","320.68","317.10","321.45","317.00","","1.30%"
"2024-8-29","316.55","316.62","319.05","316.09","","-0.12%"
"2024-8-28","316.94","318.10","318.34","316.02","","-0.44%"
"2024-8-27","318.33","318.25","318.67","317.22","","0.03%"
"2024-8-26","318.24","318.55","319.34","317.15","","-0.02%"
"2024-8-23","318.29","316.78","318.63","316.35","","0.44%"
"2024-8-22","316.91","316.09","318.00","315.14","","0.09%"
"2024-8-21","316.64","316.32","316.90","314.70","","0.05%"
"2024-8-20","316.49","316.69","318.46","315.73","","0.03%"
"2024-8-19","316.41","316.16","316.41","313.30","","0.63%"
"2024-8-16","314.42","313.48","315.07","313.48","","1.02%"
"2024-8-15","311.26","307.85","311.75","307.70","","1.19%"
"2024-8-14","307.60","305.59","308.36","304.70","","1.20%"
"2024-8-13","303.96","299.19","303.96","299.04","","1.63%"
"2024-8-12","299.09","299.76","300.43","297.55","","-0.38%"
"2024-8-9","300.24","299.11","300.26","299.11","","0.35%"
"2024-8-8","299.20","296.54","299.21","296.13","","0.67%"
"2024-8-7","297.20","294.39","298.74","294.39","","1.53%"
"2024-8-6","292.72","297.94","299.19","291.65","","-1.29%"
"2024-8-5","296.56","303.08","303.08","294.42","","-4.02%"
"2024-8-2","308.99","311.18","312.08","308.50","","-1.40%"
"2024-8-1","313.39","318.56","318.56","313.09","","-1.55%"
"2024-7-31","318.34","317.40","318.96","316.91","","0.38%"
"2024-7-30","317.12","317.01","318.23","316.55","","-0.05%"
"2024-7-29","317.29","316.73","318.80","316.73","","0.43%"
"2024-7-26","315.93","316.47","316.68","314.94","","-0.12%"
"2024-7-25","316.30","318.38","318.63","315.91","","-0.97%"
"2024-7-24","319.40","320.30","320.66","318.95","","-0.37%"
"2024-7-23","320.60","320.18","320.85","319.94","","0.49%"
"2024-7-22","319.05","320.06","320.46","318.84","","-0.34%"
"2024-7-19","320.14","320.96","321.07","319.61","","-0.65%"
"2024-7-18","322.23","322.93","323.55","321.69","","-0.63%"
"2024-7-17","324.28","325.21","325.79","323.68","","-0.36%"
"2024-7-16","325.46","326.70","326.70","324.23","","-0.54%"
"2024-7-15","327.22","328.70","329.03","326.62","","-0.31%"
"2024-7-12","328.23","328.02","329.27","326.96","","0.37%"
"2024-7-11","327.01","327.68","329.20","326.98","","-0.06%"
"2024-7-10","327.19","324.12","327.19","324.07","","1.12%"
"2024-7-9","323.58","321.74","324.19","321.69","","0.83%"
"2024-7-8","320.93","320.42","321.21","319.52","","-0.05%"
"2024-7-5","321.09","323.02","323.14","320.44","","-0.71%"
"2024-7-4","323.39","322.64","323.54","322.21","","0.63%"
"2024-7-3","321.35","318.17","321.64","317.98","","1.62%"
"2024-7-2","316.23","312.78","316.23","312.72","","1.15%"
"2024-7-1","312.63","313.33","313.86","311.44","","-0.18%"
"2024-6-28","313.20","315.01","315.97","312.70","","-0.75%"
"2024-6-27","315.56","312.57","315.85","312.57","","0.53%"
"2024-6-26","313.89","312.74","314.39","312.28","","0.35%"
"2024-6-25","312.80","312.32","313.99","311.73","","0.19%"
"2024-6-24","312.20","310.71","312.60","310.29","","0.35%"
"2024-6-21","311.10","311.59","312.17","310.87","","0.05%"
"2024-6-20","310.93","310.91","311.63","310.16","","-0.20%"
"2024-6-19","311.55","312.69","313.41","311.54","","0.11%"
"2024-6-18","311.20","310.98","311.81","310.50","","0.40%"
"2024-6-17","309.95","309.83","310.40","309.49","","0.06%"
"2024-6-14","309.76","311.17","312.00","309.21","","-0.72%"
"2024-6-13","312.01","311.87","312.59","311.37","","0.62%"
"2024-6-12","310.09","310.40","311.17","309.72","","0.10%"
"2024-6-11","309.79","310.96","311.35","309.11","","-0.22%"
"2024-6-10","310.47","310.91","311.82","309.66","","-0.11%"
"2024-6-7","310.81","311.19","311.69","310.07","","0.05%"
"2024-6-6","310.64","311.79","311.88","309.97","","0.23%"
"2024-6-5","309.93","309.93","310.77","309.02","","-0.05%"
"2024-6-4","310.07","310.73","310.74","309.14","","-0.31%"
"2024-6-3","311.04","310.40","311.09","309.65","","0.42%"
"2024-5-31","309.75","308.76","309.78","308.40","","0.47%"
"2024-5-30","308.31","307.71","309.10","307.64","","-0.17%"
"2024-5-29","308.85","310.27","310.60","308.29","","-0.51%"
"2024-5-28","310.43","310.88","312.02","308.70","","-0.09%"
"2024-5-27","310.71","310.61","311.30","310.11","","0.07%"
"2024-5-24","310.48","308.81","310.73","308.81","","-0.14%"
"2024-5-23","310.91","310.32","311.90","310.06","","0.08%"
"2024-5-22","310.66","310.52","310.90","310.42","","0.08%"
"2024-5-21","310.41","310.63","310.80","309.28","","-0.13%"
"2024-5-20","310.81","310.79","311.42","309.92","","-0.10%"
"2024-5-17","311.12","309.45","311.41","308.03","","0.67%"
"2024-5-16","309.05","307.59","309.63","307.31","","0.87%"
"2024-5-15","306.39","306.55","306.55","304.90","","-0.17%"
"2024-5-14","306.92","305.42","308.66","304.91","","0.59%"
"2024-5-13","305.13","304.10","305.34","303.70","","0.24%"
"2024-5-10","304.39","304.07","305.72","304.06","","0.44%"
"2024-5-9","303.07","302.22","303.58","301.23","","-0.09%"
"2024-5-8","303.35","304.68","304.86","301.70","","-0.82%"
"2024-5-7","305.87","306.91","307.34","305.67","","-0.16%"
"2024-5-6","306.36","306.51","307.04","305.71","","0.18%"
"2024-5-3","305.81","306.20","306.20","304.27","","0.20%"
"2024-5-2","305.20","305.69","307.24","303.53","","0.40%"
"2024-5-1","303.98","303.70","304.35","303.41","","-0.09%"
"2024-4-30","304.24","304.25","305.28","303.02","","0.00%"
"2024-4-29","304.25","303.38","304.32","301.82","","0.29%"
"2024-4-26","303.37","303.70","304.92","302.57","","-0.19%"
"2024-4-25","303.94","302.63","304.25","300.85","","-0.21%"
"2024-4-24","304.58","304.46","305.35","303.48","","0.66%"
"2024-4-23","302.58","299.83","302.90","298.96","","1.86%"
"2024-4-22","297.06","291.74","298.33","291.02","","2.12%"
"2024-4-19","290.90","292.09","292.69","289.60","","-0.45%"
"2024-4-18","292.22","289.54","292.83","289.22","","1.23%"
"2024-4-17","288.66","288.54","290.10","288.06","","0.16%"
"2024-4-16","288.19","288.50","289.24","285.78","","-0.43%"
"2024-4-15","289.44","290.39","290.56","288.98","","-1.08%"
"2024-4-12","292.59","294.74","294.74","292.58","","-0.65%"
"2024-4-11","294.50","293.14","295.43","293.14","","-0.38%"
"2024-4-10","295.61","295.19","296.22","295.19","","0.11%"
"2024-4-9","295.29","294.26","295.77","293.56","","0.71%"
"2024-4-8","293.22","292.70","293.40","292.21","","0.18%"
"2024-4-5","292.70","291.83","292.70","289.91","","-0.22%"
"2024-4-4","293.36","293.55","295.11","293.18","","0.40%"
"2024-4-3","292.19","293.69","293.69","291.82","","-0.93%"
"2024-4-2","294.92","292.87","295.07","292.63","","0.69%"
"2024-4-1","292.89","292.73","294.38","291.88","","0.29%"
"2024-3-29","292.05","292.05","292.05","292.05","","0.00%"
"2024-3-28","292.05","294.68","295.48","291.62","","-1.02%"
"2024-3-27","295.05","295.15","296.86","294.70","","0.34%"
"2024-3-26","294.06","290.72","294.61","290.43","","1.28%"
"2024-3-25","290.33","291.91","292.25","290.10","","-0.59%"
"2024-3-22","292.06","292.51","292.79","291.23","","-0.16%"
"2024-3-21","292.53","291.07","293.74","290.64","","1.24%"
"2024-3-20","288.95","289.04","289.68","288.45","","0.17%"
"2024-3-19","288.46","289.46","289.75","287.61","","-0.28%"
"2024-3-18","289.27","289.27","290.07","288.92","","-0.03%"
"2024-3-15","289.36","289.62","291.21","289.19","","-0.84%"
"2024-3-14","291.82","289.54","292.97","289.14","","0.99%"
"2024-3-13","288.96","286.68","289.45","286.15","","1.20%"
"2024-3-12","285.52","286.04","286.70","285.26","","-0.06%"
"2024-3-11","285.68","285.93","286.04","284.72","","-0.02%"
"2024-3-8","285.75","286.93","287.62","285.70","","-0.05%"
"2024-3-7","285.90","286.52","287.20","285.08","","-0.05%"
"2024-3-6","286.04","282.70","286.31","282.52","","1.46%"
"2024-3-5","281.92","282.48","282.96","280.49","","-0.03%"
"2024-3-4","282.00","281.57","283.82","279.90","","0.17%"
"2024-3-1","281.53","281.05","281.75","279.35","","0.46%"
"2024-2-29","280.23","280.41","281.06","279.50","","0.14%"
"2024-2-28","279.85","280.99","281.02","279.17","","-0.53%"
"2024-2-27","281.34","281.96","282.46","279.07","","-0.08%"
"2024-2-26","281.56","281.85","281.85","279.95","","-0.48%"
"2024-2-23","282.91","284.96","284.97","281.94","","-0.93%"
"2024-2-22","285.57","285.90","286.49","284.11","","0.00%"
"2024-2-21","285.56","287.68","288.62","285.41","","-1.09%"
"2024-2-20","288.70","287.79","289.47","287.05","","0.37%"
"2024-2-19","287.64","287.20","288.82","286.72","","0.17%"
"2024-2-16","287.14","283.84","287.65","283.21","","1.48%"
"2024-2-15","282.96","278.99","283.15","278.84","","1.60%"
