"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-19","2,506.72","2,510.95","2,512.12","2,505.22","0.00K","0.04%"
"2024-11-18","2,505.66","2,498.83","2,510.27","2,495.19","0.00K","0.31%"
"2024-11-15","2,497.88","2,523.01","2,523.64","2,493.75","","-0.96%"
"2024-11-14","2,522.21","2,531.33","2,537.31","2,518.44","","-0.46%"
"2024-11-13","2,533.87","2,538.14","2,540.96","2,528.07","","-0.29%"
"2024-11-12","2,541.36","2,560.05","2,560.05","2,533.45","","-0.77%"
"2024-11-11","2,561.15","2,554.84","2,565.09","2,553.85","","0.03%"
"2024-11-8","2,560.50","2,559.09","2,562.52","2,553.71","","0.08%"
"2024-11-7","2,558.52","2,538.73","2,562.81","2,538.53","","0.90%"
"2024-11-6","2,535.58","2,492.39","2,536.79","2,488.24","","1.49%"
"2024-11-5","2,498.41","2,474.09","2,500.00","2,473.52","","1.01%"
"2024-11-4","2,473.41","2,479.38","2,482.65","2,468.11","","-0.01%"
"2024-11-1","2,473.56","2,465.01","2,487.08","2,463.49","","0.29%"
"2024-10-31","2,466.44","2,502.11","2,502.88","2,466.27","","-1.46%"
"2024-10-30","2,503.07","2,511.10","2,515.02","2,501.06","","-0.32%"
"2024-10-29","2,511.01","2,511.14","2,514.50","2,501.84","","0.02%"
"2024-10-28","2,510.39","2,500.16","2,516.13","2,490.54","","0.35%"
"2024-10-25","2,501.75","2,503.48","2,518.30","2,497.94","","-0.06%"
"2024-10-24","2,503.21","2,499.60","2,506.89","2,495.50","","0.17%"
"2024-10-23","2,499.07","2,519.73","2,519.73","2,488.82","","-0.83%"
"2024-10-22","2,520.02","2,523.26","2,524.28","2,512.89","","-0.31%"
"2024-10-21","2,527.73","2,540.38","2,540.53","2,519.15","","-0.43%"
"2024-10-18","2,538.58","2,528.56","2,540.82","2,526.74","","0.50%"
"2024-10-17","2,525.85","2,526.34","2,536.75","2,524.05","","-0.01%"
"2024-10-16","2,526.16","2,519.97","2,526.47","2,516.61","","0.14%"
"2024-10-15","2,522.61","2,539.13","2,540.00","2,519.22","","-0.57%"
"2024-10-14","2,537.17","2,524.61","2,539.79","2,522.78","","0.49%"
"2024-10-11","2,524.91","2,512.48","2,526.88","2,510.17","","0.58%"
"2024-10-10","2,510.26","2,515.09","2,515.79","2,504.29","","-0.07%"
"2024-10-9","2,511.92","2,499.88","2,512.24","2,496.87","","0.46%"
"2024-10-8","2,500.46","2,491.95","2,502.64","2,486.08","","0.02%"
"2024-10-7","2,499.98","2,514.37","2,516.94","2,496.55","","-0.41%"
"2024-10-4","2,510.26","2,497.27","2,510.27","2,492.03","","0.62%"
"2024-10-3","2,494.76","2,501.19","2,503.07","2,488.54","","-0.39%"
"2024-10-2","2,504.63","2,509.77","2,510.62","2,493.91","","-0.09%"
"2024-10-1","2,506.84","2,523.91","2,526.03","2,497.52","","-0.74%"
"2024-9-30","2,525.48","2,526.31","2,526.64","2,505.76","","-0.18%"
"2024-9-27","2,529.98","2,524.46","2,538.48","2,522.30","","0.29%"
"2024-9-26","2,522.66","2,505.50","2,529.18","2,505.15","","0.86%"
"2024-9-25","2,501.14","2,510.18","2,510.23","2,496.43","","-0.17%"
"2024-9-24","2,505.30","2,495.46","2,508.08","2,494.88","","0.49%"
"2024-9-23","2,493.14","2,487.64","2,495.20","2,485.24","","0.29%"
"2024-9-20","2,486.01","2,499.79","2,500.46","2,477.93","","-0.30%"
"2024-9-19","2,493.39","2,458.20","2,499.60","2,457.84","","1.59%"
"2024-9-18","2,454.28","2,461.70","2,477.71","2,451.65","","-0.26%"
"2024-9-17","2,460.77","2,457.85","2,471.46","2,454.36","","0.07%"
"2024-9-16","2,459.11","2,455.49","2,460.18","2,451.02","","0.20%"
"2024-9-13","2,454.18","2,439.99","2,456.55","2,439.08","","0.76%"
"2024-9-12","2,435.72","2,416.84","2,439.09","2,416.36","","1.02%"
"2024-9-11","2,411.17","2,397.47","2,412.40","2,367.98","","0.56%"
"2024-9-10","2,397.66","2,394.64","2,399.28","2,382.85","","0.12%"
"2024-9-9","2,394.69","2,372.99","2,399.57","2,372.99","","0.54%"
"2024-9-6","2,381.92","2,413.71","2,418.07","2,377.30","","-1.21%"
"2024-9-5","2,411.13","2,419.48","2,425.72","2,406.48","","-0.28%"
"2024-9-4","2,417.93","2,422.54","2,428.73","2,411.29","","-0.56%"
"2024-9-3","2,431.52","2,470.74","2,472.37","2,424.98","","-1.60%"
"2024-9-2","2,471.16","2,471.62","2,472.38","2,469.09","","-0.10%"
"2024-8-30","2,473.58","2,458.58","2,473.59","2,452.65","","0.75%"
"2024-8-29","2,455.23","2,453.40","2,471.77","2,453.40","","-0.01%"
"2024-8-28","2,455.48","2,464.61","2,467.05","2,445.60","","-0.42%"
"2024-8-27","2,465.78","2,461.71","2,468.50","2,456.47","","0.08%"
"2024-8-26","2,463.78","2,468.40","2,473.28","2,459.45","","-0.11%"
"2024-8-23","2,466.39","2,438.24","2,469.74","2,438.24","","1.14%"
"2024-8-22","2,438.52","2,453.22","2,460.20","2,434.87","","-0.57%"
"2024-8-21","2,452.44","2,442.46","2,457.08","2,441.91","","0.35%"
"2024-8-20","2,443.85","2,447.08","2,451.68","2,440.95","","-0.04%"
"2024-8-19","2,444.79","2,427.65","2,445.38","2,425.74","","0.95%"
"2024-8-16","2,421.90","2,413.67","2,425.56","2,413.49","","0.63%"
"2024-8-15","2,406.70","2,379.89","2,406.85","2,377.80","","1.14%"
"2024-8-14","2,379.68","2,369.79","2,381.05","2,368.09","","0.58%"
"2024-8-13","2,366.01","2,335.20","2,368.67","2,335.12","","1.47%"
"2024-8-12","2,331.76","2,333.01","2,340.16","2,326.26","","-0.03%"
"2024-8-9","2,332.54","2,323.97","2,335.91","2,318.58","","0.70%"
"2024-8-8","2,316.36","2,285.75","2,319.13","2,278.87","","1.39%"
"2024-8-7","2,284.65","2,291.00","2,323.14","2,283.51","","-0.03%"
"2024-8-6","2,285.35","2,269.28","2,305.03","2,265.54","","1.26%"
"2024-8-5","2,256.95","2,321.28","2,321.28","2,238.34","","-3.35%"
"2024-8-2","2,335.10","2,372.64","2,373.21","2,321.89","","-2.14%"
"2024-8-1","2,386.09","2,417.59","2,426.29","2,374.41","","-1.38%"
"2024-7-31","2,419.59","2,387.44","2,430.90","2,386.76","","1.55%"
"2024-7-30","2,382.66","2,387.10","2,398.68","2,374.96","","-0.31%"
"2024-7-29","2,390.12","2,393.67","2,399.33","2,385.36","","0.09%"
"2024-7-26","2,387.94","2,367.12","2,395.22","2,366.20","","0.85%"
"2024-7-25","2,367.81","2,378.49","2,394.05","2,361.47","","-0.68%"
"2024-7-24","2,383.99","2,423.09","2,423.09","2,380.71","","-1.55%"
"2024-7-23","2,421.58","2,424.89","2,429.69","2,420.50","","0.00%"
"2024-7-22","2,421.61","2,400.76","2,422.87","2,400.18","","0.71%"
"2024-7-19","2,404.60","2,417.27","2,417.95","2,401.49","","-0.81%"
"2024-7-18","2,424.19","2,440.60","2,448.51","2,415.58","","-0.80%"
"2024-7-17","2,443.68","2,466.24","2,468.44","2,443.18","","-0.83%"
"2024-7-16","2,464.17","2,452.89","2,466.29","2,448.96","","0.41%"
"2024-7-15","2,454.09","2,450.54","2,463.99","2,448.12","","0.07%"
"2024-7-12","2,452.31","2,435.59","2,462.87","2,435.37","","0.54%"
"2024-7-11","2,439.06","2,439.05","2,454.11","2,435.76","","0.17%"
"2024-7-10","2,434.90","2,414.99","2,435.42","2,413.85","","0.84%"
"2024-7-9","2,414.54","2,416.43","2,419.75","2,413.38","","-0.08%"
"2024-7-8","2,416.51","2,416.42","2,420.68","2,412.79","","0.07%"
"2024-7-5","2,414.70","2,409.83","2,417.02","2,403.84","","0.24%"
"2024-7-4","2,408.88","2,403.85","2,409.40","2,403.85","","0.30%"
"2024-7-3","2,401.57","2,385.53","2,402.04","2,384.70","","0.74%"
"2024-7-2","2,383.86","2,374.94","2,384.59","2,369.77","","0.35%"
"2024-7-1","2,375.51","2,373.05","2,380.63","2,368.02","","0.16%"
"2024-6-28","2,371.65","2,376.50","2,389.02","2,367.51","","-0.17%"
"2024-6-27","2,375.68","2,372.61","2,378.48","2,370.25","","0.04%"
"2024-6-26","2,374.80","2,376.17","2,378.21","2,366.29","","-0.02%"
"2024-6-25","2,375.37","2,372.48","2,376.79","2,368.74","","0.27%"
"2024-6-24","2,368.97","2,366.61","2,381.73","2,366.46","","0.05%"
"2024-6-21","2,367.88","2,374.46","2,374.90","2,363.17","","-0.35%"
"2024-6-20","2,376.29","2,376.68","2,384.43","2,369.86","","-0.10%"
"2024-6-19","2,378.66","2,378.92","2,379.75","2,377.47","","0.16%"
"2024-6-18","2,374.95","2,368.24","2,376.67","2,367.38","","0.43%"
"2024-6-17","2,364.72","2,354.46","2,369.73","2,349.72","","0.35%"
"2024-6-14","2,356.48","2,363.54","2,364.67","2,346.66","","-0.36%"
"2024-6-13","2,364.92","2,370.29","2,372.05","2,355.70","","-0.33%"
"2024-6-12","2,372.72","2,348.76","2,382.19","2,348.76","","1.00%"
"2024-6-11","2,349.14","2,351.52","2,352.41","2,335.04","","-0.14%"
"2024-6-10","2,352.39","2,349.57","2,354.71","2,341.56","","0.05%"
"2024-6-7","2,351.10","2,360.15","2,362.35","2,347.37","","-0.34%"
"2024-6-6","2,359.14","2,359.42","2,362.06","2,355.52","","0.24%"
"2024-6-5","2,353.45","2,332.99","2,354.64","2,332.40","","0.82%"
"2024-6-4","2,334.22","2,339.50","2,339.84","2,325.30","","-0.24%"
"2024-6-3","2,339.78","2,335.54","2,346.53","2,326.79","","0.40%"
"2024-5-31","2,330.36","2,317.65","2,331.21","2,305.63","","0.59%"
"2024-5-30","2,316.67","2,319.82","2,323.62","2,312.06","","-0.31%"
"2024-5-29","2,323.82","2,344.37","2,344.38","2,322.27","","-1.09%"
"2024-5-28","2,349.36","2,352.76","2,355.19","2,340.97","","-0.09%"
"2024-5-27","2,351.48","2,347.88","2,351.49","2,347.53","","0.25%"
"2024-5-24","2,345.50","2,333.53","2,348.19","2,330.62","","0.34%"
"2024-5-23","2,337.55","2,349.91","2,362.90","2,333.12","","-0.56%"
"2024-5-22","2,350.62","2,358.87","2,359.34","2,343.81","","-0.38%"
"2024-5-21","2,359.58","2,357.05","2,359.75","2,352.25","","-0.03%"
"2024-5-20","2,360.26","2,358.87","2,364.44","2,357.25","","0.15%"
"2024-5-17","2,356.61","2,352.54","2,356.81","2,350.84","","0.10%"
"2024-5-16","2,354.15","2,359.80","2,361.86","2,353.54","","0.02%"
"2024-5-15","2,353.68","2,332.95","2,357.06","2,332.03","","0.98%"
"2024-5-14","2,330.90","2,319.70","2,332.08","2,318.98","","0.43%"
"2024-5-13","2,320.98","2,319.71","2,325.71","2,317.66","","0.10%"
"2024-5-10","2,318.72","2,314.54","2,326.15","2,314.11","","0.28%"
"2024-5-9","2,312.34","2,304.71","2,313.65","2,300.71","","0.39%"
"2024-5-8","2,303.28","2,303.04","2,304.74","2,295.78","","-0.23%"
"2024-5-7","2,308.61","2,301.83","2,312.21","2,301.65","","0.29%"
"2024-5-6","2,302.01","2,282.72","2,302.03","2,282.38","","0.84%"
"2024-5-3","2,282.94","2,262.53","2,291.10","2,261.99","","1.14%"
"2024-5-2","2,257.31","2,242.09","2,263.03","2,240.20","","0.89%"
"2024-5-1","2,237.36","2,239.78","2,262.78","2,234.62","","-0.28%"
"2024-4-30","2,243.54","2,272.22","2,272.67","2,241.79","","-1.14%"
"2024-4-29","2,269.47","2,260.99","2,272.44","2,260.83","","0.44%"
"2024-4-26","2,259.56","2,242.50","2,263.57","2,242.31","","0.88%"
"2024-4-25","2,239.77","2,249.44","2,249.61","2,219.36","","-0.55%"
"2024-4-24","2,252.25","2,254.67","2,259.85","2,244.63","","0.17%"
"2024-4-23","2,248.53","2,224.82","2,251.36","2,224.25","","1.19%"
"2024-4-22","2,222.05","2,206.66","2,230.78","2,205.71","","0.83%"
"2024-4-19","2,203.84","2,211.52","2,217.57","2,198.98","","-0.78%"
"2024-4-18","2,221.25","2,225.42","2,235.05","2,217.48","","0.06%"
"2024-4-17","2,219.92","2,229.48","2,239.86","2,216.37","","-0.43%"
"2024-4-16","2,229.43","2,239.39","2,240.12","2,224.83","","-0.82%"
"2024-4-15","2,247.90","2,268.27","2,282.19","2,244.55","","-1.04%"
"2024-4-12","2,271.44","2,298.96","2,300.15","2,266.26","","-1.17%"
"2024-4-11","2,298.34","2,290.57","2,303.14","2,280.41","","0.25%"
"2024-4-10","2,292.64","2,315.25","2,317.29","2,284.44","","-0.91%"
"2024-4-9","2,313.69","2,311.76","2,320.89","2,299.71","","0.18%"
"2024-4-8","2,309.64","2,306.27","2,313.90","2,305.04","","0.26%"
"2024-4-5","2,303.64","2,289.21","2,309.35","2,284.82","","0.35%"
"2024-4-4","2,295.63","2,311.96","2,327.03","2,293.86","","-0.52%"
"2024-4-3","2,307.56","2,302.51","2,313.09","2,298.56","","0.12%"
"2024-4-2","2,304.86","2,318.36","2,320.75","2,299.20","","-0.55%"
"2024-4-1","2,317.69","2,323.81","2,328.55","2,312.80","","-0.42%"
"2024-3-29","2,327.41","2,326.82","2,327.75","2,326.18","","0.07%"
"2024-3-28","2,325.87","2,324.66","2,327.94","2,322.12","","0.02%"
"2024-3-27","2,325.34","2,311.02","2,326.02","2,310.17","","0.64%"
"2024-3-26","2,310.46","2,313.21","2,319.82","2,309.98","","-0.10%"
"2024-3-25","2,312.87","2,317.58","2,317.58","2,311.55","","-0.23%"
"2024-3-22","2,318.11","2,321.30","2,323.33","2,316.36","","-0.27%"
"2024-3-21","2,324.50","2,319.29","2,330.80","2,318.95","","0.74%"
"2024-3-20","2,307.50","2,293.53","2,312.40","2,289.50","","0.64%"
"2024-3-19","2,292.80","2,286.11","2,293.49","2,278.38","","0.24%"
"2024-3-18","2,287.23","2,280.02","2,294.60","2,279.75","","0.46%"
"2024-3-15","2,276.86","2,287.20","2,288.57","2,272.84","","-0.59%"
"2024-3-14","2,290.27","2,298.78","2,301.99","2,281.30","","-0.39%"
"2024-3-13","2,299.16","2,300.84","2,304.31","2,295.82","","-0.04%"
"2024-3-12","2,300.01","2,280.86","2,301.58","2,280.19","","0.80%"
"2024-3-11","2,281.80","2,285.80","2,286.29","2,273.00","","-0.39%"
