"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-19","38,414.43","38,396.72","38,560.10","38,246.36","1.09B","0.51%"
"2024-11-18","38,220.85","38,259.59","38,548.30","38,150.39","1.06B","-1.09%"
"2024-11-15","38,642.91","38,749.56","39,101.64","38,642.91","1.44B","0.28%"
"2024-11-14","38,535.70","38,911.04","39,084.44","38,535.70","1.34B","-0.48%"
"2024-11-13","38,721.66","39,317.15","39,377.24","38,600.26","1.50B","-1.66%"
"2024-11-12","39,376.09","39,642.78","39,866.72","39,137.89","1.63B","-0.40%"
"2024-11-11","39,533.32","39,417.21","39,598.74","39,315.61","1.23B","0.08%"
"2024-11-8","39,500.37","39,783.45","39,818.41","39,377.87","1.59B","0.30%"
"2024-11-7","39,381.41","39,745.23","39,884.01","39,020.22","1.90B","-0.25%"
"2024-11-6","39,480.67","38,677.95","39,664.53","38,662.17","1.71B","2.61%"
"2024-11-5","38,474.90","38,274.22","38,620.19","38,159.73","1.20B","1.11%"
"2024-11-4","38,053.67","38,504.35","38,512.83","37,946.66","1.30B","0.00%"
"2024-11-1","38,053.67","38,504.35","38,512.83","37,946.66","1.30B","-2.63%"
"2024-10-31","39,081.25","39,179.72","39,249.21","38,832.21","1.44B","-0.50%"
"2024-10-30","39,277.39","39,102.89","39,417.88","39,094.30","2.22B","0.96%"
"2024-10-29","38,903.68","38,524.30","38,903.68","38,416.85","973.81M","0.77%"
"2024-10-28","38,605.53","37,757.95","38,740.17","37,757.95","1.17B","1.82%"
"2024-10-25","37,913.92","37,954.78","38,028.14","37,713.00","907.43M","-0.60%"
"2024-10-24","38,143.29","37,804.52","38,320.39","37,712.19","1.09B","0.10%"
"2024-10-23","38,104.86","38,397.28","38,514.33","37,987.62","954.33M","-0.80%"
"2024-10-22","38,411.96","38,933.60","38,995.03","38,200.82","1.10B","-1.39%"
"2024-10-21","38,954.60","38,960.20","39,119.67","38,775.59","989.67M","-0.07%"
"2024-10-18","38,981.75","39,092.47","39,186.64","38,893.52","956.91M","0.18%"
"2024-10-17","38,911.19","39,263.82","39,299.74","38,911.19","1.07B","-0.69%"
"2024-10-16","39,180.30","39,362.63","39,362.63","39,062.85","1.08B","-1.83%"
"2024-10-15","39,910.55","40,047.15","40,257.34","39,910.55","1.29B","0.77%"
"2024-10-11","39,605.80","39,636.87","39,668.93","39,415.26","1.11B","0.57%"
"2024-10-10","39,380.89","39,575.80","39,616.59","39,282.19","1.03B","0.26%"
"2024-10-9","39,277.96","39,385.49","39,456.28","39,115.63","1.07B","0.87%"
"2024-10-8","38,937.54","39,021.13","39,117.09","38,817.54","1.20B","-1.00%"
"2024-10-7","39,332.74","39,239.92","39,560.78","39,195.93","1.28B","1.80%"
"2024-10-4","38,635.62","38,594.73","38,735.29","38,501.82","1.21B","0.22%"
"2024-10-3","38,552.06","38,459.13","38,856.75","38,457.62","1.27B","1.97%"
"2024-10-2","37,808.76","38,136.20","38,213.54","37,651.07","1.40B","-2.18%"
"2024-10-1","38,651.97","38,232.47","38,718.13","38,232.47","1.32B","1.93%"
"2024-9-30","37,919.55","39,117.83","39,126.36","37,797.91","1.90B","-4.80%"
"2024-9-27","39,829.56","39,108.27","39,829.56","38,917.98","1.62B","2.32%"
"2024-9-26","38,925.63","38,266.79","38,925.63","38,240.65","1.41B","2.79%"
"2024-9-25","37,870.26","37,947.35","38,109.24","37,868.84","1.08B","-0.19%"
"2024-9-24","37,940.59","38,171.36","38,427.15","37,902.99","1.13B","0.57%"
"2024-9-20","37,723.91","37,714.07","37,974.72","37,654.11","1.63B","1.53%"
"2024-9-19","37,155.33","36,958.93","37,394.52","36,958.93","1.14B","2.13%"
"2024-9-18","36,380.17","36,546.04","36,675.07","36,127.45","998.93M","0.49%"
"2024-9-17","36,203.22","36,601.93","36,663.18","35,828.54","1.27B","-1.03%"
"2024-9-13","36,581.76","36,882.41","36,887.40","36,441.34","1.16B","-0.68%"
"2024-9-12","36,833.27","36,185.62","36,902.21","36,172.26","1.26B","3.41%"
"2024-9-11","35,619.77","36,029.90","36,056.87","35,253.43","1.28B","-1.49%"
"2024-9-10","36,159.16","36,386.12","36,537.03","36,001.58","1.12B","-0.16%"
"2024-9-9","36,215.75","35,805.82","36,248.12","35,247.87","1.18B","-0.48%"
"2024-9-6","36,391.47","36,815.00","36,898.28","36,235.61","1.12B","-0.72%"
"2024-9-5","36,657.09","36,536.25","37,099.96","36,359.23","1.11B","-1.05%"
"2024-9-4","37,047.61","38,039.91","38,080.02","36,879.33","1.44B","-4.24%"
"2024-9-3","38,686.31","38,745.76","38,967.56","38,581.55","912.46M","-0.04%"
"2024-9-2","38,700.87","39,025.31","39,080.64","38,476.51","870.88M","0.14%"
"2024-8-30","38,647.75","38,388.04","38,669.79","38,316.87","1.37B","0.74%"
"2024-8-29","38,362.53","38,119.95","38,401.15","37,970.20","1.06B","-0.02%"
"2024-8-28","38,371.76","38,221.38","38,399.91","38,141.49","886.72M","0.22%"
"2024-8-27","38,288.62","38,066.31","38,365.64","37,911.32","842.83M","0.47%"
"2024-8-26","38,110.22","38,156.41","38,204.81","37,825.31","917.04M","-0.66%"
"2024-8-23","38,364.27","38,278.18","38,424.27","38,053.47","897.68M","0.40%"
"2024-8-22","38,211.01","38,033.78","38,408.19","37,883.86","927.61M","0.68%"
"2024-8-21","37,951.80","37,653.34","38,026.02","37,605.83","947.82M","-0.29%"
"2024-8-20","38,062.92","37,847.85","38,236.39","37,738.30","1.11B","1.80%"
"2024-8-19","37,388.62","37,863.76","38,125.27","37,318.04","1.08B","-1.77%"
"2024-8-16","38,062.67","37,304.93","38,143.55","37,304.93","1.29B","3.64%"
"2024-8-15","36,726.64","36,381.40","36,885.16","36,381.40","1.20B","0.78%"
"2024-8-14","36,442.43","36,535.60","36,683.89","36,074.71","1.36B","0.58%"
"2024-8-13","36,232.51","35,490.58","36,232.51","35,476.79","","0.00%"
"2024-8-13","36,232.51","35,490.58","36,232.51","35,476.79","1.41B","3.45%"
"2024-8-9","35,025.00","35,272.34","35,671.31","34,445.57","1.77B","0.56%"
"2024-8-8","34,831.15","34,645.79","35,379.65","34,207.16","1.65B","-0.74%"
"2024-8-7","35,089.62","34,122.35","35,849.77","33,739.46","2.43B","1.19%"
"2024-8-6","34,675.46","32,077.33","34,911.80","32,077.33","2.51B","10.23%"
"2024-8-5","31,458.42","35,249.36","35,301.18","31,156.12","2.86B","-12.40%"
"2024-8-2","35,909.70","37,444.17","37,471.52","35,880.15","2.04B","-5.81%"
"2024-8-1","38,126.33","38,781.56","38,781.56","37,737.88","1.79B","-2.49%"
"2024-7-31","39,101.82","38,140.77","39,188.37","37,954.38","1.46B","1.49%"
"2024-7-30","38,525.95","38,241.35","38,531.16","38,076.70","1.10B","0.15%"
"2024-7-29","38,468.63","38,139.12","38,719.70","38,010.01","1.07B","2.13%"
"2024-7-26","37,667.41","37,792.87","38,105.96","37,611.19","1.24B","-0.53%"
"2024-7-25","37,869.51","38,524.20","38,557.79","37,825.58","1.43B","-3.28%"
"2024-7-24","39,154.85","39,336.74","39,643.27","39,096.50","1.10B","-1.11%"
"2024-7-23","39,594.39","39,864.09","39,927.89","39,519.91","883.16M","-0.01%"
"2024-7-22","39,599.00","39,947.95","39,973.20","39,519.39","827.47M","-1.16%"
"2024-7-19","40,063.79","39,965.91","40,212.90","39,824.58","998.32M","-0.16%"
"2024-7-18","40,126.35","40,521.71","40,587.63","40,104.22","1.18B","-2.36%"
"2024-7-17","41,097.69","41,416.18","41,466.45","41,054.72","1.10B","-0.43%"
"2024-7-16","41,275.08","41,366.79","41,520.07","41,220.65","1.01B","0.20%"
"2024-7-12","41,190.68","41,668.86","41,754.76","41,188.29","1.30B","-2.45%"
"2024-7-11","42,224.02","42,343.72","42,426.77","42,102.46","1.23B","0.94%"
"2024-7-10","41,831.99","41,444.33","41,889.16","41,430.38","1.34B","0.61%"
"2024-7-9","41,580.17","40,953.41","41,769.35","40,942.44","1.18B","1.96%"
"2024-7-8","40,780.70","40,863.14","41,112.24","40,780.70","1.13B","-0.32%"
"2024-7-5","40,912.37","41,009.36","41,100.13","40,746.89","1.14B","0.00%"
"2024-7-4","40,913.65","40,747.59","40,971.23","40,604.15","1.18B","0.82%"
"2024-7-3","40,580.76","40,225.83","40,694.21","40,172.85","1.26B","1.26%"
"2024-7-2","40,074.69","39,543.61","40,113.48","39,457.62","1.35B","1.12%"
"2024-7-1","39,631.06","39,839.82","39,942.69","39,537.10","1.19B","0.12%"
"2024-6-28","39,583.08","39,593.01","39,783.70","39,485.73","1.24B","0.61%"
"2024-6-27","39,341.54","39,434.47","39,439.24","39,193.51","1.15B","-0.82%"
"2024-6-26","39,667.07","39,364.73","39,788.63","39,233.56","1.09B","1.26%"
"2024-6-25","39,173.15","38,833.90","39,215.07","38,758.07","1.08B","0.95%"
"2024-6-24","38,804.65","38,497.42","38,905.47","38,416.07","934.57M","0.54%"
"2024-6-21","38,596.47","38,608.66","38,795.68","38,532.13","1.41B","-0.09%"
"2024-6-20","38,633.02","38,410.32","38,637.62","38,263.08","880.45M","0.16%"
"2024-6-19","38,570.76","38,653.91","38,797.97","38,453.41","936.08M","0.23%"
"2024-6-18","38,482.11","38,433.48","38,519.02","38,332.89","970.82M","1.00%"
"2024-6-17","38,102.44","38,440.98","38,442.70","37,950.20","1.07B","-1.83%"
"2024-6-14","38,814.56","38,587.57","39,025.70","38,554.75","1.57B","0.24%"
"2024-6-13","38,720.47","39,182.06","39,252.44","38,689.79","1.16B","-0.40%"
"2024-6-12","38,876.71","38,865.15","38,945.99","38,809.36","1.08B","-0.66%"
"2024-6-11","39,134.79","39,175.59","39,336.66","39,074.88","933.29M","0.25%"
"2024-6-10","39,038.16","38,689.78","39,081.54","38,689.78","892.25M","0.92%"
"2024-6-7","38,683.93","38,597.55","38,747.27","38,560.85","962.36M","-0.05%"
"2024-6-6","38,703.51","38,841.66","39,011.93","38,693.50","1.19B","0.55%"
"2024-6-5","38,490.17","38,654.09","38,656.41","38,343.98","1.19B","-0.89%"
"2024-6-4","38,837.46","38,702.54","38,895.06","38,591.79","1.18B","-0.22%"
"2024-6-3","38,923.03","38,734.95","39,032.50","38,734.95","1.16B","1.13%"
"2024-5-31","38,487.90","38,173.22","38,526.93","38,087.61","2.11B","1.14%"
"2024-5-30","38,054.13","38,112.77","38,138.03","37,617.00","1.17B","-1.30%"
"2024-5-29","38,556.87","38,880.50","39,141.99","38,524.24","1.24B","-0.77%"
"2024-5-28","38,855.37","38,879.15","38,981.97","38,756.13","1.01B","-0.11%"
"2024-5-27","38,900.02","38,766.21","38,900.02","38,667.93","942.39M","0.66%"
"2024-5-24","38,646.11","38,506.03","38,740.82","38,367.70","963.06M","-1.17%"
"2024-5-23","39,103.22","38,803.13","39,129.47","38,617.43","1.08B","1.26%"
"2024-5-22","38,617.10","38,823.91","38,854.99","38,592.94","1.06B","-0.85%"
"2024-5-21","38,946.93","39,232.16","39,346.15","38,942.28","1.07B","-0.31%"
"2024-5-20","39,069.68","38,761.71","39,437.16","38,703.70","1.27B","0.73%"
"2024-5-17","38,787.38","38,561.04","38,842.49","38,539.56","1.33B","-0.34%"
"2024-5-16","38,920.26","38,645.96","38,949.38","38,513.33","1.58B","1.39%"
"2024-5-15","38,385.73","38,533.09","38,816.60","38,335.61","1.46B","0.08%"
"2024-5-14","38,356.06","38,287.99","38,477.68","38,084.71","1.43B","0.46%"
"2024-5-13","38,179.46","38,211.61","38,273.40","37,969.58","1.29B","-0.13%"
"2024-5-10","38,229.11","38,361.79","38,741.88","38,126.91","1.67B","0.41%"
"2024-5-9","38,073.98","38,242.92","38,429.81","38,072.24","1.19B","-0.34%"
