Timestamp,Weighted_Price
2015/9/1,227.1631
2015/9/2,228.6428
2015/9/3,226.5658
2015/9/4,230.0509
2015/9/5,234.7495
2015/9/6,239.1289
2015/9/7,240.503
2015/9/8,243.5587
2015/9/9,237.9452
2015/9/10,238.7763
2015/9/11,240.0007956
2015/9/12,234.9098
2015/9/13,230.5048
2015/9/14,230.21
2015/9/15,229.9118
2015/9/16,228.464
2015/9/17,232.746
2015/9/18,232.354
2015/9/19,231.2733
2015/9/20,230.6597
2015/9/21,226.4528
2015/9/22,229.8831
2015/9/23,229.8658
2015/9/24,233.9255
2015/9/25,234.9767
2015/9/26,234.5279
2015/9/27,232.8347
2015/9/28,239.2765
2015/9/29,237.2262
2015/9/30,236.0463
2015/10/1,237.7358
2015/10/2,237.2593
2015/10/3,238.9718
2015/10/4,238.6566
2015/10/5,240.3238
2015/10/6,246.444
2015/10/7,243.2229
2015/10/8,242.9008
2015/10/9,244.2051
2015/10/10,245.3209
2015/10/11,247.5392
2015/10/12,245.5661
2015/10/13,249.4051
2015/10/14,252.6956
2015/10/15,254.6295531
2015/10/16,262.3735
2015/10/17,270.3646
2015/10/18,262.2345
2015/10/19,264.2094
2015/10/20,270.2664
2015/10/21,267.0187
2015/10/22,273.573
2015/10/23,277.3884
2015/10/24,282.9566
2015/10/25,284.749
2015/10/26,285.5159
2015/10/27,294.8094
2015/10/28,303.6366
2015/10/29,313.9073
2015/10/30,325.8006
2015/10/31,312.2783
2015/11/1,324.9971
2015/11/2,350.7678
2015/11/3,398.2369
2015/11/4,404.3588
2015/11/5,387.473
2015/11/6,372.826
2015/11/7,387.06
2015/11/8,371.502
2015/11/9,380.644
2015/11/10,336.873
2015/11/11,305.983
2015/11/12,337.955
2015/11/13,337.372
2015/11/14,331.501
2015/11/15,320.484
2015/11/16,331.353
2015/11/17,335.111
2015/11/18,335.447
2015/11/19,325.568
2015/11/20,321.417
2015/11/21,325.159
2015/11/22,323.395
2015/11/23,322.829
2015/11/24,319.979
2015/11/25,328.169
2015/11/26,356.245
2015/11/27,359.011
2015/11/28,356.212
2015/11/29,371.488
2015/11/30,378.265
2015/12/1,363.45
2015/12/2,358.82
2015/12/3,360.954
2015/12/4,362.767
2015/12/5,390.645
2015/12/6,394.011
2015/12/7,394.355
2015/12/8,412.93
2015/12/9,417.368
2015/12/10,416.91
2015/12/11,452.415
2015/12/12,434.903
2015/12/13,435.815
2015/12/14,443.277
2015/12/15,464.999
2015/12/16,453.914
2015/12/17,456.473
2015/12/18,463.816
2015/12/19,462.053
2015/12/20,441.129
2015/12/21,437.809
2015/12/22,436.237
2015/12/23,442.821
2015/12/24,454.907
2015/12/25,455.742
2015/12/26,417.092
2015/12/27,423.925
2015/12/28,420.708
2015/12/29,432.154
2015/12/30,426.811
2015/12/31,431.139
2016/1/1,434.427
2016/1/2,434.326
2016/1/3,430.198
2016/1/4,433.534
2016/1/5,432.115
2016/1/6,431.343
2016/1/7,456.434
2016/1/8,454.6963
2016/1/9,448.709
2016/1/10,447.207
2016/1/11,448.349
2016/1/12,445.792
2016/1/13,432.12
2016/1/14,429.243
2016/1/15,365.912
2016/1/16,384.813
2016/1/17,386.356
2016/1/18,385.132
2016/1/19,379.015
2016/1/20,418.848
2016/1/21,407.815
2016/1/22,377.21
2016/1/23,389.641
2016/1/24,403.056
2016/1/25,392.326
2016/1/26,392.456
2016/1/27,394.491
2016/1/28,379.552
2016/1/29,378.912
2016/1/30,376.921
2016/1/31,364.352
2016/2/1,371.041
2016/2/2,372.868
2016/2/3,368.124
2016/2/4,388.376
2016/2/5,385.733
2016/2/6,374.905
2016/2/7,375.517
2016/2/8,371.136
2016/2/9,373.909
2016/2/10,379.829
2016/2/11,377.058
2016/2/12,382.72
2016/2/13,390.424
2016/2/14,404.144
2016/2/15,399.379
2016/2/16,407.013
2016/2/17,416.85
2016/2/18,421.422
2016/2/19,419.377
2016/2/20,441.12
2016/2/21,438.65
2016/2/22,437.803
2016/2/23,420.302
2016/2/24,423.187
2016/2/25,423.142
2016/2/26,427.029
2016/2/27,432.139
2016/2/28,432.797
2016/2/29,436.919
2016/3/1,431.371
2016/3/2,424.485
2016/3/3,420.171
2016/3/4,409.408
2016/3/5,397.241
2016/3/6,404.912
2016/3/7,413.74
2016/3/8,411.877
2016/3/9,412.319
2016/3/10,416.292
2016/3/11,419.299
2016/3/12,410.801
2016/3/13,412.495
2016/3/14,414.585
2016/3/15,415.641
2016/3/16,416.544
2016/3/17,418.4
2016/3/18,408.28
2016/3/19,406.739
2016/3/20,411.882
2016/3/21,411.091
2016/3/22,416.36
2016/3/23,418.076
2016/3/24,414.883
2016/3/25,415.743
2016/3/26,416.715
2016/3/27,425.349
2016/3/28,422.756
2016/3/29,415.547
2016/3/30,412.597
2016/3/31,415.366
2016/4/1,416.754
2016/4/2,419.67
2016/4/3,418.185
2016/4/4,419.437
2016/4/5,422.651
2016/4/6,421.656
2016/4/7,421.076
2016/4/8,418.474
2016/4/9,416.145
2016/4/10,421.133
2016/4/11,422.584
2016/4/12,426.181
2016/4/13,424.269
2016/4/14,424.932
2016/4/15,429.966
2016/4/16,430.941
2016/4/17,428.027
2016/4/18,428.506
2016/4/19,436.37
2016/4/20,441.916
2016/4/21,451.083
2016/4/22,447.488
2016/4/23,451.818
2016/4/24,459.923
2016/4/25,460.466
2016/4/26,467.856
2016/4/27,444.789
2016/4/28,449.381
2016/4/29,456.566
2016/4/30,447.903
2016/5/1,452.592
2016/5/2,444.488
2016/5/3,450.3
2016/5/4,447.119
2016/5/5,448.922
2016/5/6,461.62
2016/5/7,459.248
2016/5/8,459.283
2016/5/9,461.747
2016/5/10,450.326
2016/5/11,452.179
2016/5/12,454.731
2016/5/13,456.007
2016/5/14,455.503
2016/5/15,457.837
2016/5/16,454.893
2016/5/17,452.422
2016/5/18,453.371
2016/5/19,440.539
2016/5/20,441.888
2016/5/21,443.147
2016/5/22,438.675
2016/5/23,443.175
2016/5/24,445.769
2016/5/25,449.055
2016/5/26,453.732
2016/5/27,473.864
2016/5/28,528.545
2016/5/29,524.624
2016/5/30,534.224
2016/5/31,531.407
2016/6/1,539.168
2016/6/2,538.832
2016/6/3,570.445
2016/6/4,573.526
2016/6/5,574.4756747
2016/6/6,585.563
2016/6/7,577.9106943
2016/6/8,583.139
2016/6/9,577.607
2016/6/10,579.2276479
2016/6/11,597.746562
2016/6/12,671.7122785
2016/6/13,704.2918522
2016/6/14,685.9321316
2016/6/15,693.227
2016/6/16,765.463
2016/6/17,749.419
2016/6/18,756.7996013
2016/6/19,764.046
2016/6/20,734.1617358
2016/6/21,664.9965294
2016/6/22,591.895
2016/6/23,623.2062564
2016/6/24,661.4166052
2016/6/25,666.0566979
2016/6/26,629.306
2016/6/27,648.3
2016/6/28,646.843
2016/6/29,637.437
2016/6/30,671.616
2016/7/1,677.71
2016/7/2,693.047
