Timestamp,Weighted_Price
2015/8/10,264.516
2015/8/11,265.458
2015/8/12,267.668
2015/8/13,264.053
2015/8/14,264.837
2015/8/15,264.722
2015/8/16,258.969
2015/8/17,257.854
2015/8/18,253.79
2015/8/19,231.748
2015/8/20,232.887
2015/8/21,233.452
2015/8/22,229.848
2015/8/23,229.287
2015/8/24,219.892
2015/8/25,213.673
2015/8/26,225.249
2015/8/27,225.623
2015/8/28,227.685
2015/8/29,230.117
2015/8/30,229.659
2015/8/31,228.792
2015/9/1,228.197
2015/9/2,228.016
2015/9/3,227.614
2015/9/4,229.058
2015/9/5,231.934
2015/9/6,239.717
2015/9/7,240.53
2015/9/8,243.394
2015/9/9,240.462
2015/9/10,238.539
2015/9/11,239.916
2015/9/12,238.114
2015/9/13,232.617
2015/9/14,230.218
2015/9/15,230.152
2015/9/16,228.705
2015/9/17,230.686
2015/9/18,233.043
2015/9/19,231.588
2015/9/20,230.94
2015/9/21,228.015
2015/9/22,228.689
2015/9/23,230.404
2015/9/24,232.239
2015/9/25,235.295
2015/9/26,234.051
2015/9/27,233.409
2015/9/28,237.125
2015/9/29,237.937
2015/9/30,236.866
2015/10/1,236.899
2015/10/2,237.726
2015/10/3,238.381
2015/10/4,238.794
2015/10/5,238.724
2015/10/6,243.136
2015/10/7,245.262
2015/10/8,243.701
2015/10/9,243.629
2015/10/10,244.579
2015/10/11,245.811
2015/10/12,246.638
2015/10/13,247.404
2015/10/14,251.284
2015/10/15,254.488
2015/10/16,259.868
2015/10/17,269.135
2015/10/18,266.726
2015/10/19,263.775
2015/10/20,267.214
2015/10/21,268.111
2015/10/22,271.908
2015/10/23,276.61
2015/10/24,279.731
2015/10/25,289.505
2015/10/26,284.408
2015/10/27,292.005
2015/10/28,301.252
2015/10/29,309.563
2015/10/30,324.762
2015/10/31,321.941
2015/11/1,316.359
2015/11/2,335.738
2015/11/3,384.145
2015/11/4,449.287
2015/11/5,401.566
2015/11/6,372.194
2015/11/7,383.625
2015/11/8,382.2
2015/11/9,374.932
2015/11/10,365.764
2015/11/11,315.768
2015/11/12,327.694
2015/11/13,333.683
2015/11/14,333.448
2015/11/15,328.106
2015/11/16,322.131
2015/11/17,334.502
2015/11/18,333.66
2015/11/19,330.832
2015/11/20,319.889
2015/11/21,324.813
2015/11/22,324.123
2015/11/23,322.867
2015/11/24,320.608
2015/11/25,322.364
2015/11/26,342.484
2015/11/27,355.977
2015/11/28,354.843
2015/11/29,360.479
2015/11/30,376.271
2015/12/1,367.19
2015/12/2,355.655
2015/12/3,361.925
2015/12/4,359.977
2015/12/5,374.789
2015/12/6,393.696
2015/12/7,393.935
2015/12/8,395.33
2015/12/9,417.576
2015/12/10,415.562
2015/12/11,432.058
2015/12/12,432.019
2015/12/13,435.76
2015/12/14,441.485
2015/12/15,456.742
2015/12/16,456.521
2015/12/17,455.108
2015/12/18,459.385
2015/12/19,462.587
2015/12/20,453.641
2015/12/21,437.468
2015/12/22,439.047
2015/12/23,440.857
2015/12/24,454.111
2015/12/25,454.511
2015/12/26,428.423
2015/12/27,417.265
2015/12/28,424.113
2015/12/29,425.095
2015/12/30,428.988
2015/12/31,425.418
2016/1/1,432.258
2016/1/2,433.24
2016/1/3,429.271
2016/1/4,431.819
2016/1/5,432.241
2016/1/6,429.829
2016/1/7,447.946
2016/1/8,454.849
2016/1/9,449.909
2016/1/10,444.408
2016/1/11,447.174
2016/1/12,445.538
2016/1/13,428.513
2016/1/14,430.349
2016/1/15,403.973
2016/1/16,371.323
2016/1/17,384.435
2016/1/18,383
2016/1/19,383.472
2016/1/20,392.939
2016/1/21,414.174
2016/1/22,393.566
2016/1/23,388.784
2016/1/24,396.316
2016/1/25,396.252
2016/1/26,393.133
2016/1/27,394.257
2016/1/28,383.843
2016/1/29,375.988
2016/1/30,378.256
2016/1/31,377.724
2016/2/1,373.237
2016/2/2,374.287
2016/2/3,372.194
2016/2/4,378.35
2016/2/5,387.86
2016/2/6,377.282
2016/2/7,377.566
2016/2/8,376.95
2016/2/9,374.584
2016/2/10,379.689
2016/2/11,380.995
2016/2/12,382.955
2016/2/13,389.825
2016/2/14,400.002
2016/2/15,404.62
2016/2/16,404.798
2016/2/17,414.783
2016/2/18,420.743
2016/2/19,420.701
2016/2/20,430.082
2016/2/21,438.567
2016/2/22,437.065
2016/2/23,427.514
2016/2/24,421.19
2016/2/25,423.3
2016/2/26,424.262
2016/2/27,432.256
2016/2/28,429.127
2016/2/29,436.765
2016/3/1,434.676
2016/3/2,431.575
2016/3/3,421.323
2016/3/4,419.557
2016/3/5,403.989
2016/3/6,404.42
2016/3/7,409.784
2016/3/8,412.669
2016/3/9,411.941
2016/3/10,413.802
2016/3/11,419.577
2016/3/12,413.346
2016/3/13,412.764
2016/3/14,414.027
2016/3/15,415.778
2016/3/16,415.443
2016/3/17,418.234
2016/3/18,413.077
2016/3/19,407.531
2016/3/20,410.271
2016/3/21,409.752
2016/3/22,415.288
2016/3/23,416.991
2016/3/24,415.821
2016/3/25,415.36
2016/3/26,416.249
2016/3/27,419.438
2016/3/28,423.456
2016/3/29,417.945
2016/3/30,412.853
2016/3/31,414.983
2016/4/1,415.156
2016/4/2,418.138
2016/4/3,417.978
2016/4/4,418.564
2016/4/5,420.973
2016/4/6,421.292
2016/4/7,420.006
2016/4/8,420.314
2016/4/9,416.933
2016/4/10,418.889
2016/4/11,420.07
2016/4/12,423.767
2016/4/13,423.615
2016/4/14,423.23
2016/4/15,426.47
2016/4/16,429.738
2016/4/17,427.826
2016/4/18,427.315
2016/4/19,428.717
2016/4/20,436.562
2016/4/21,443.215
2016/4/22,445.474
2016/4/23,445.852
