Timestamp,Weighted_Price
2022/1/24,36306.40944
2022/1/25,36774.00714
2022/1/26,36988.92851
2022/1/27,36870.44017
2022/1/28,37276.83956
2022/1/29,37852.57903
2022/1/30,38232.17873
2022/1/31,37983.1515
2022/2/1,38555.53446
2022/2/2,38835.69494
2022/2/3,37000.9825
2022/2/4,37101.35159
2022/2/5,41673.83955
2022/2/6,41493.69005
2022/2/7,42475.54322
2022/2/8,43910.92999
2022/2/9,44184.44751
2022/2/10,44383.88806
2022/2/11,43628.13953
2022/2/12,42445.38877
2022/2/13,42254.73812
2022/2/14,42247.83595
2022/2/15,42634.57378
2022/2/16,44574.32057
2022/2/17,44063.28198
2022/2/18,40562.98695
2022/2/19,40073.49536
2022/2/20,40192.75912
2022/2/21,38514.00854
2022/2/22,37059.9794
2022/2/23,38337.20386
2022/2/24,37372.29268
2022/2/25,38363.34549
2022/2/26,39316.16208
2022/2/27,39090.20215
2022/2/28,37803.59016
2022/3/1,43225.40468
2022/3/2,44459.59163
2022/3/3,43980.70738
2022/3/4,42491.97839
2022/3/5,39200.29974
2022/3/6,39463.14681
2022/3/7,38442.99175
2022/3/8,38076.49382
2022/3/9,38732.93701
2022/3/10,41986.03445
2022/3/11,39468.35477
2022/3/12,38775.17559
2022/3/13,38903.69355
2022/3/14,37852.52514
2022/3/15,39669.42381
2022/3/16,39331.84654
2022/3/17,41165.63506
2022/3/18,41001.70958
2022/3/19,41837.41314
2022/3/20,42201.93992
2022/3/21,41283.259
2022/3/22,41061.81589
2022/3/23,42401.8956
2022/3/24,42802.15471
2022/3/25,43936.09623
2022/3/26,44331.77796
2022/3/27,44510.84422
2022/3/28,46715.11762
2022/3/29,46994.87912
2022/3/30,47459.26124
2022/3/31,47063.36585
2022/4/1,45528.40715
2022/4/2,46270.20071
2022/4/3,45842.14476
2022/4/4,46434.56298
2022/4/5,46622.63571
2022/4/6,45635.45438
2022/4/7,43198.77527
2022/4/8,43515.15032
2022/4/9,42315.70972
2022/4/10,42796.39748
2022/4/11,42274.90737
2022/4/12,39603.96516
2022/4/13,40205.67794
2022/4/14,41205.16872
2022/4/15,39959.45707
2022/4/16,40586.59731
2022/4/17,40450.37931
2022/4/18,39739.11926
2022/4/19,40833.53797
2022/4/20,41498.12245
2022/4/21,41397.22048
2022/4/22,40528.54149
2022/4/23,39756.84899
2022/4/24,39561.78019
2022/4/25,39469.04986
2022/4/26,40488.87792
2022/4/27,38134.21545
2022/4/28,39237.94932
2022/4/29,39741.76665
2022/4/30,38650.55014
2022/5/1,37820.61177
2022/5/2,38537.65477
2022/5/3,38561.5654
2022/5/4,37758.49611
2022/5/5,39699.02404
2022/5/6,36612.22955
2022/5/7,36116.39429
2022/5/8,35573.3102
2022/5/9,34070.3122
2022/5/10,30269.58696
2022/5/11,31026.93387
2022/5/12,28913.48836
2022/5/13,29126.11598
2022/5/14,29310.72896
2022/5/15,30189.33318
2022/5/16,31319.30911
2022/5/17,29923.60699
2022/5/18,30502.19328
2022/5/19,28772.2005
2022/5/20,30382.40624
2022/5/21,29256.81337
2022/5/22,29491.50795
2022/5/23,30351.05042
2022/5/24,29163.16778
2022/5/25,29655.02613
2022/5/26,29584.94985
2022/5/27,29346.78144
2022/5/28,28646.65218
2022/5/29,29088.23645
2022/5/30,29492.50321
2022/5/31,31740.94073
2022/6/1,31865.74962
2022/6/2,29833.45033
2022/6/3,30481.014
2022/6/4,29714.14349
2022/6/5,29872.36031
2022/6/6,29917.76405
2022/6/7,31372.58476
2022/6/8,31265.46928
2022/6/9,30229.23684
2022/6/10,30101.18752
2022/6/11,29101.29826
2022/6/12,28374.145
2022/6/13,26767.26917
2022/6/14,22525.76835
2022/6/15,22244.84897
2022/6/16,22529.19811
2022/6/17,20408.69049
2022/6/18,20473.05288
2022/6/19,19047.41783
2022/6/20,20516.41198
2022/6/21,20636.75891
2022/6/22,20700.92393
2022/6/23,19983.56648
2022/6/24,21100.27053
2022/6/25,21262.71348
2022/6/26,21525.88036
2022/6/27,21052.8054
2022/6/28,20751.47753
2022/6/29,20282.54248
2022/6/30,20108.52947
2022/7/1,19608.39749
2022/7/2,19407.44743
2022/7/3,19268.227
2022/7/4,19310.23322
2022/7/5,20257.01233
2022/7/6,20188.77966
2022/7/7,20566.68722
2022/7/8,21660.59684
2022/7/9,21858.81875
2022/7/10,21589.6281
2022/7/11,20859.81408
2022/7/12,19998.46784
2022/7/13,19350.73735
2022/7/14,20225.23866
2022/7/15,20574.84059
2022/7/16,20794.81198
2022/7/17,21193.08334
2022/7/18,20824.36275
2022/7/19,22395.36538
2022/7/20,23366.9077
2022/7/21,23313.29673
2022/7/22,23155.20756
2022/7/23,22696.90275
2022/7/24,22506.19957
2022/7/25,22613.71921
2022/7/26,21330.29545
2022/7/27,21235.61232
2022/7/28,22908.88426
2022/7/29,23822.0676
2022/7/30,23847.58332
2022/7/31,23653.45955
2022/8/1,23379.70053
2022/8/2,23333.74924
2022/8/3,23053.84685
2022/8/4,22860.42098
2022/8/5,22678.36363
2022/8/6,23225.0362
2022/8/7,22984.57953
2022/8/8,23197.60347
2022/8/9,23823.67944
2022/8/10,23203.6807
2022/8/11,23948.82955
2022/8/12,23948.7517
2022/8/13,24411.37987
2022/8/14,24433.65375
2022/8/15,24312.54142
2022/8/16,24179.01465
2022/8/17,23913.33373
2022/8/18,23359.41884
2022/8/19,23248.38423
2022/8/20,20945.83397
2022/8/21,21175.23273
2022/8/22,21615.76169
2022/8/23,21387.74711
2022/8/24,21562.45154
