Timestamp,Weighted_Price
2021/8/5,39751.58458
2021/8/6,40825.38194
2021/8/7,42802.13717
2021/8/8,44647.5776
2021/8/9,43753.21786
2021/8/10,46311.0019
2021/8/11,45639.51402
2021/8/12,45652.06013
2021/8/13,44495.20979
2021/8/14,47717.27053
2021/8/15,47088.85313
2021/8/16,47025.00323
2021/8/17,46031.75754
2021/8/18,44534.45485
2021/8/19,45015.46555
2021/8/20,46745.03462
2021/8/21,49195.8786
2021/8/22,48933.68915
2021/8/23,49250.54487
2021/8/24,49518.57749
2021/8/25,47940.60791
2021/8/26,49002.70377
2021/8/27,47229.07065
2021/8/28,49083.10331
2021/8/29,48936.53725
2021/8/30,48907.27073
2021/8/31,47124.25422
2021/9/1,47335.4203
2021/9/2,48823.05521
2021/9/3,49338.78465
2021/9/4,49934.52828
2021/9/5,50013.02995
2021/9/6,51696.20643
2021/9/7,52739.80017
2021/9/8,46995.16417
2021/9/9,46085.02862
2021/9/10,46518.94119
2021/9/11,44802.6064
2021/9/12,45196.48828
2021/9/13,46195.2183
2021/9/14,45139.83397
2021/9/15,47135.432
2021/9/16,48186.53276
2021/9/17,47879.47344
2021/9/18,47228.65822
2021/9/19,48266.62707
2021/9/20,47371.03933
2021/9/21,42932.9466
2021/9/22,40386.62364
2021/9/23,43587.22305
2021/9/24,44980.89821
2021/9/25,42752.16815
2021/9/26,42856.85516
2021/9/27,43336.86123
2021/9/28,42247.35573
2021/9/29,41010.3752
2021/9/30,41587.66786
2021/10/1,43859.32615
2021/10/2,48181.87627
2021/10/3,47777.76202
2021/10/4,48282.97114
2021/10/5,49260.23232
2021/10/6,51668.99422
2021/10/7,55415.00574
2021/10/8,53894.59599
2021/10/9,54010.93747
2021/10/10,55125.46034
2021/10/11,54711.8696
2021/10/12,57572.51086
2021/10/13,56335.03546
2021/10/14,57487.98588
2021/10/15,57452.43179
2021/10/16,61809.02394
2021/10/17,61165.63564
2021/10/18,61583.77444
2021/10/19,62017.97273
2021/10/20,64517.64856
2021/10/21,66237.51755
2021/10/22,62541.08693
2021/10/23,61029.27093
2021/10/24,61572.14043
2021/10/25,61173.16639
2021/10/26,63228.21383
2021/10/27,60604.18889
2021/10/28,58641.00147
2021/10/29,60767.55585
2021/10/30,62283.19806
2021/10/31,61837.257
2021/11/1,61471.86846
2021/11/2,61121.8312
2021/11/3,63247.20896
2021/11/4,63130.94235
2021/11/5,61601.74357
2021/11/6,61247.38494
2021/11/7,61661.35866
2021/11/8,63153.23019
2021/11/9,67617.01554
2021/11/10,67145.37494
2021/11/11,65061.05441
2021/11/12,65005.64516
2021/11/13,64432.04795
2021/11/14,64660.33535
2021/11/15,65648.97779
2021/11/16,63933.83544
2021/11/17,60448.56251
2021/11/18,60603.65587
2021/11/19,56987.32234
2021/11/20,58459.25552
2021/11/21,60082.91167
2021/11/22,59139.77928
2021/11/23,56386.85685
2021/11/24,57748.79317
2021/11/25,57198.18385
2021/11/26,58897.84698
2021/11/27,53827.79287
2021/11/28,54533.40388
2021/11/29,57237.66114
2021/11/30,57848.77354
2021/12/1,57011.28047
2021/12/2,57169.37199
2021/12/3,56508.26805
2021/12/4,53785.96717
2021/12/5,49161.99071
2021/12/6,49268.46989
2021/12/7,50461.57684
2021/12/8,50647.66341
2021/12/9,50530.45806
2021/12/10,47885.87199
2021/12/11,47303.56415
2021/12/12,49242.30232
2021/12/13,50051.07835
2021/12/14,46696.3047
2021/12/15,48410.56466
2021/12/16,48936.86258
2021/12/17,47694.5305
2021/12/18,46328.69637
2021/12/19,46970.05705
2021/12/20,46807.04862
2021/12/21,47117.0082
2021/12/22,49145.21726
2021/12/23,48755.89564
2021/12/24,50900.61495
2021/12/25,50888.72104
2021/12/26,50663.4871
2021/12/27,50852.86026
2021/12/28,50774.06781
2021/12/29,47725.14805
2021/12/30,46506.99465
2021/12/31,47191.86839
2022/1/1,46319.65109
2022/1/2,47816.07768
2022/1/3,47387.21217
2022/1/4,46531.14086
2022/1/5,45938.02427
2022/1/6,43647.14751
2022/1/7,43216.45868
2022/1/8,41527.19704
2022/1/9,41756.66232
2022/1/10,41862.36099
2022/1/11,41869.85906
2022/1/12,42777.21102
2022/1/13,43981.87733
2022/1/14,42608.41001
2022/1/15,43120.85451
2022/1/16,43226.65027
2022/1/17,43119.79214
2022/1/18,42298.34112
2022/1/19,42395.45879
2022/1/20,41749.55143
2022/1/21,40707.68241
2022/1/22,36508.79979
2022/1/23,35180.43546
2022/1/24,36306.40944
2022/1/25,36774.00714
2022/1/26,36988.92851
2022/1/27,36870.44017
2022/1/28,37276.83956
2022/1/29,37852.57903
2022/1/30,38232.17873
2022/1/31,37983.1515
2022/2/1,38555.53446
2022/2/2,38835.69494
2022/2/3,37000.9825
2022/2/4,37101.35159
2022/2/5,41673.83955
2022/2/6,41493.69005
2022/2/7,42475.54322
2022/2/8,43910.92999
2022/2/9,44184.44751
2022/2/10,44383.88806
2022/2/11,43628.13953
2022/2/12,42445.38877
2022/2/13,42254.73812
2022/2/14,42247.83595
2022/2/15,42634.57378
2022/2/16,44574.32057
2022/2/17,44063.28198
2022/2/18,40562.98695
2022/2/19,40073.49536
2022/2/20,40192.75912
2022/2/21,38514.00854
2022/2/22,37059.9794
2022/2/23,38337.20386
