策略名称,累计收益率,夏普比率,最大回撤,年化收益率,结余资金,收益风险比,1% VaR,5% VaR
no_threshold_AR1forecast_baseline,-16.93%,-1.0342,23.67%,-30.44%,8306905.89,-1.2860,-0.0549,-0.0303
no_threshold_AR2forecast_baseline,-14.74%,-0.8750,23.84%,-26.80%,8526159.78,-1.1239,-0.0548,-0.0338
no_threshold_ARMA11forecast_baseline,-18.03%,-1.0331,24.67%,-32.23%,8197023.39,-1.3064,-0.0604,-0.0351
no_threshold_ARMA22forecast_baseline,-0.08%,-0.0581,19.27%,-0.17%,9991556.26,-0.0086,-0.0427,-0.0318
no_threshold_AR1Archforecast_baseline,-14.84%,-0.9383,21.74%,-26.98%,8515637.75,-1.2408,-0.0512,-0.0307
no_threshold_AR2Archforecast_baseline,-15.72%,-0.9365,30.48%,-28.44%,8427625.03,-0.9332,-0.0511,-0.0339
no_threshold_AR1Garchforecast_baseline,-5.24%,-0.3791,19.02%,-9.99%,9476299.69,-0.5253,-0.0512,-0.0283
no_threshold_AR2Garchforecast_baseline,-19.86%,-1.1279,28.59%,-35.16%,8013948.00,-1.2295,-0.0549,-0.0350
no_threshold_AR1forecast_beforeevent1,-20.92%,-0.9864,47.36%,-36.52%,7907558.91,-0.7711,-0.0731,-0.0285
no_threshold_AR2forecast_beforeevent1,-12.01%,-0.5463,40.66%,-21.94%,8799034.56,-0.5395,-0.0597,-0.0338
no_threshold_ARMA11forecast_beforeevent1,-19.35%,-0.7680,43.02%,-34.05%,8064998.62,-0.7914,-0.0731,-0.0340
no_threshold_ARMA22forecast_beforeevent1,-29.32%,-1.3003,48.99%,-48.91%,7068105.61,-0.9985,-0.0598,-0.0338
no_threshold_AR1Archforecast_beforeevent1,-33.77%,-1.5936,50.04%,-54.96%,6622510.39,-1.0983,-0.0731,-0.0272
no_threshold_AR2Archforecast_beforeevent1,-9.91%,-0.4591,31.90%,-18.29%,9009187.52,-0.5732,-0.0612,-0.0276
