strategy_name,Returncum,Sharpe,MDD,annualized_return,final_money,risky,1% VaR,5% VaR
no_threshold_AR1forecast_baseline,-20.80%,-1.2301,27.13%,-36.63%,7920390.04,-1.3499,-0.0550,-0.0313
no_threshold_AR2forecast_baseline,-20.21%,-1.1458,28.71%,-35.71%,7971136.95,-1.2435,-0.0550,-0.0348
no_threshold_ARMA11forecast_baseline,-24.04%,-1.3164,30.11%,-41.61%,7595832.57,-1.3817,-0.0614,-0.0353
no_threshold_ARMA22forecast_baseline,-7.84%,-0.5000,20.80%,-14.76%,9216260.12,-0.7096,-0.0433,-0.0327
no_threshold_AR1Archforecast_baseline,-19.61%,-1.1920,26.05%,-34.75%,8039258.95,-1.3341,-0.0520,-0.0316
no_threshold_AR2Archforecast_baseline,-21.11%,-1.2011,34.94%,-37.12%,7881270.57,-1.0623,-0.0519,-0.0348
no_threshold_AR1Garchforecast_baseline,-9.94%,-0.6552,20.73%,-18.53%,8996812.34,-0.8938,-0.0519,-0.0282
no_threshold_AR2Garchforecast_baseline,-24.68%,-1.3537,32.92%,-42.57%,7524521.79,-1.2931,-0.0550,-0.0361
no_threshold_AR1forecast_beforeevent1,-25.23%,-1.1528,50.22%,-43.04%,7476532.64,-0.8571,-0.0740,-0.0287
no_threshold_AR2forecast_beforeevent1,-17.80%,-0.7682,44.32%,-31.56%,8220439.59,-0.7122,-0.0607,-0.0343
no_threshold_ARMA11forecast_beforeevent1,-24.65%,-0.9416,46.70%,-42.18%,7534911.18,-0.9031,-0.0732,-0.0347
no_threshold_ARMA22forecast_beforeevent1,-34.89%,-1.4944,51.76%,-56.42%,6511109.63,-1.0900,-0.0598,-0.0341
no_threshold_AR1Archforecast_beforeevent1,-37.26%,-1.7141,52.78%,-59.43%,6274184.41,-1.1260,-0.0733,-0.0282
no_threshold_AR2Archforecast_beforeevent1,-15.74%,-0.6861,36.22%,-28.21%,8417729.53,-0.7789,-0.0613,-0.0283
no_threshold_AR1Garchforecast_beforeevent1,-40.94%,-1.8125,57.54%,-63.91%,5905932.41,-1.1108,-0.0732,-0.0287
no_threshold_AR2Garchforecast_beforeevent1,-14.26%,-0.6415,36.59%,-25.75%,8574020.65,-0.7038,-0.0597,-0.0287
no_threshold_AR1forecast_afterevent1,89.86%,5.1747,23.41%,250.57%,18967283.84,10.7016,-0.0583,-0.0336
no_threshold_AR2forecast_afterevent1,58.04%,3.0268,20.88%,144.86%,15788596.97,6.9390,-0.0593,-0.0337
no_threshold_ARMA11forecast_afterevent1,55.41%,2.6863,18.63%,136.92%,15525011.47,7.3494,-0.0583,-0.0374
no_threshold_ARMA22forecast_afterevent1,73.24%,3.9970,18.70%,193.03%,17306581.40,10.3203,-0.0584,-0.0325
no_threshold_AR1Archforecast_afterevent1,65.15%,3.1463,19.22%,166.85%,16498280.09,8.6813,-0.0583,-0.0457
no_threshold_AR2Archforecast_afterevent1,74.85%,3.6085,27.80%,198.37%,17467115.64,7.1352,-0.0584,-0.0408
no_threshold_AR1Garchforecast_afterevent1,84.35%,4.4657,19.13%,230.94%,18416773.73,12.0695,-0.0583,-0.0376
no_threshold_AR2Garchforecast_afterevent1,99.05%,5.1877,21.05%,284.52%,19884867.36,13.5164,-0.0592,-0.0384
no_threshold_AR1forecast_beforeevent2,-8.72%,-0.4189,42.31%,-16.27%,9118911.47,-0.3845,-0.0812,-0.0322
no_threshold_AR2forecast_beforeevent2,22.30%,1.0304,34.42%,47.95%,12217829.07,1.3930,-0.0645,-0.0322
no_threshold_ARMA11forecast_beforeevent2,13.79%,0.5859,35.31%,28.59%,11368107.07,0.8097,-0.0812,-0.0353
no_threshold_ARMA22forecast_beforeevent2,-11.62%,-0.4598,37.92%,-21.37%,8828830.03,-0.5637,-0.0869,-0.0461
no_threshold_AR1Archforecast_beforeevent2,-18.21%,-0.6919,31.82%,-32.38%,8170370.86,-1.0176,-0.0879,-0.0406
no_threshold_AR2Archforecast_beforeevent2,15.13%,0.6175,34.76%,31.55%,11501746.78,0.9075,-0.0810,-0.0374
no_threshold_AR1Garchforecast_beforeevent2,-12.65%,-0.4819,31.80%,-23.14%,8726501.61,-0.7275,-0.0878,-0.0423
no_threshold_AR2Garchforecast_beforeevent2,1.95%,0.0412,47.46%,3.84%,10185209.26,0.0808,-0.0811,-0.0424
no_threshold_AR1forecast_afterevent2,-36.45%,-1.6421,37.07%,-59.01%,6348628.11,-1.5917,-0.0700,-0.0330
no_threshold_AR2forecast_afterevent2,-29.27%,-1.2586,29.46%,-49.40%,7066012.13,-1.6767,-0.0666,-0.0321
no_threshold_ARMA11forecast_afterevent2,-9.48%,-0.4706,30.41%,-17.79%,9042965.22,-0.5852,-0.0590,-0.0345
