"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-19","4.1000","4.1240","4.1538","4.0955","","-0.49%"
"2024-11-18","4.1200","4.0665","4.1355","4.0505","50.80K","1.37%"
"2024-11-15","4.0645","4.0785","4.1720","4.0595","77.38K","-0.56%"
"2024-11-14","4.0875","4.0715","4.0985","4.0015","88.42K","0.11%"
"2024-11-13","4.0830","4.1450","4.1660","4.0655","84.04K","-1.29%"
"2024-11-12","4.1365","4.2465","4.2595","4.1320","77.59K","-2.18%"
"2024-11-11","4.2285","4.3125","4.3320","4.2225","62.73K","-1.80%"
"2024-11-8","4.3060","4.4390","4.4390","4.2925","82.28K","-2.83%"
"2024-11-7","4.4315","4.2390","4.4465","4.2360","95.40K","4.37%"
"2024-11-6","4.2460","4.4670","4.4670","4.2260","118.20K","-5.12%"
"2024-11-5","4.4750","4.4320","4.4930","4.4205","62.53K","0.98%"
"2024-11-4","4.4315","4.3550","4.4485","4.3470","62.92K","1.37%"
"2024-11-1","4.3715","4.3615","4.4100","4.3430","54.93K","0.73%"
"2024-10-31","4.3400","4.3580","4.3800","4.3260","49.50K","-0.26%"
"2024-10-30","4.3515","4.3650","4.3835","4.3245","46.90K","0.36%"
"2024-10-29","4.3360","4.3370","4.3985","4.3140","1.13K","-0.01%"
"2024-10-28","4.3365","4.3555","4.3555","4.3110","1.22K","-0.17%"
"2024-10-25","4.3440","4.3390","4.3600","4.3050","0.47K","0.44%"
"2024-10-24","4.3250","4.3035","4.3560","4.3020","0.77K","0.34%"
"2024-10-23","4.3105","4.3520","4.3535","4.2845","0.31K","-1.02%"
"2024-10-22","4.3550","4.3335","4.3765","4.3335","0.61K","0.54%"
"2024-10-21","4.3315","4.3755","4.4280","4.3200","0.25K","-0.57%"
"2024-10-18","4.3565","4.3045","4.3780","4.3045","0.42K","1.37%"
"2024-10-17","4.2975","4.3365","4.3820","4.2755","0.33K","-0.99%"
"2024-10-16","4.3405","4.3280","4.3615","4.3165","0.42K","0.70%"
"2024-10-15","4.3105","4.3685","4.3745","4.3050","0.55K","-1.55%"
"2024-10-14","4.3785","4.4025","4.4375","4.3595","0.71K","-1.96%"
"2024-10-11","4.4660","4.4085","4.4705","4.3925","0.65K","1.49%"
"2024-10-10","4.4005","4.3900","4.4230","4.3590","0.35K","0.64%"
"2024-10-9","4.3725","4.4460","4.4715","4.3480","0.48K","-1.28%"
"2024-10-8","4.4290","4.5435","4.5440","4.4000","0.80K","-2.41%"
"2024-10-7","4.5385","4.5530","4.5770","4.4885","0.41K","-0.16%"
"2024-10-4","4.5460","4.5185","4.5730","4.5185","0.90K","0.45%"
"2024-10-3","4.5255","4.6270","4.6360","4.4935","0.93K","-2.11%"
"2024-10-2","4.6230","4.5535","4.6350","4.5420","0.58K","1.34%"
"2024-10-1","4.5620","4.5335","4.5960","4.5075","0.86K","0.83%"
"2024-9-30","4.5245","4.6130","4.7360","4.4735","0.80K","-1.01%"
"2024-9-27","4.5705","4.6045","4.6190","4.5490","0.78K","-0.26%"
"2024-9-26","4.5825","4.4645","4.5905","4.4645","1.24K","3.42%"
"2024-9-25","4.4310","4.4710","4.4770","4.4115","1.35K","-0.05%"
"2024-9-24","4.4330","4.3085","4.4690","4.3085","1.85K","3.27%"
"2024-9-23","4.2925","4.2695","4.2990","4.2360","0.83K","0.08%"
"2024-9-20","4.2890","4.3045","4.3260","4.2675","1.54K","-0.13%"
"2024-9-19","4.2945","4.2220","4.3300","4.1945","1.35K","1.11%"
"2024-9-18","4.2475","4.2310","4.2875","4.1930","0.87K","0.54%"
"2024-9-17","4.2245","4.2205","4.2560","4.2095","0.54K","-0.04%"
"2024-9-16","4.2260","4.1655","4.2585","4.1610","1.02K","0.88%"
"2024-9-13","4.1890","4.1640","4.1990","4.1425","0.72K","0.96%"
"2024-9-12","4.1490","4.1285","4.1825","4.1220","1.02K","1.24%"
"2024-9-11","4.0980","4.0570","4.1255","4.0570","0.60K","1.04%"
"2024-9-10","4.0560","4.0970","4.1135","4.0475","0.70K","-1.11%"
"2024-9-9","4.1015","4.0265","4.1150","4.0200","0.38K","1.74%"
"2024-9-6","4.0315","4.1030","4.1265","4.0205","0.55K","-1.51%"
"2024-9-5","4.0935","4.0450","4.1090","4.0000","0.59K","1.44%"
"2024-9-4","4.0355","4.0500","4.0700","4.0220","1.04K","-0.39%"
"2024-9-3","4.0515","4.1680","4.1775","4.0175","1.08K","-3.16%"
"2024-9-2","4.1837","4.2190","4.2218","4.1632","","-0.83%"
"2024-9-1","4.2188","4.2185","4.2272","4.2127","","1.24%"
"2024-8-30","4.1670","4.1640","4.2285","4.1550","0.85K","-0.18%"
"2024-8-29","4.1745","4.1775","4.2000","4.1420","1.39K","0.60%"
"2024-8-28","4.1495","4.2350","4.2365","4.1350","24.17K","-2.08%"
"2024-8-27","4.2375","4.2100","4.2535","4.1890","38.96K","0.45%"
"2024-8-26","4.2185","4.2080","4.2395","4.1930","36.55K","0.42%"
"2024-8-23","4.2010","4.1375","4.2250","4.1360","47.45K","1.28%"
"2024-8-22","4.1480","4.2040","4.2175","4.1270","46.54K","-1.00%"
"2024-8-21","4.1900","4.1540","4.2150","4.1350","41.71K","0.76%"
"2024-8-20","4.1585","4.1965","4.2070","4.1385","44.20K","-0.53%"
"2024-8-19","4.1805","4.1500","4.2005","4.1415","41.42K","0.89%"
"2024-8-16","4.1435","4.1425","4.1635","4.0950","50.13K","-0.18%"
"2024-8-15","4.1510","4.0420","4.1635","4.0285","56.90K","2.75%"
"2024-8-14","4.0400","4.0610","4.0960","4.0335","46.85K","-0.28%"
"2024-8-13","4.0515","4.0680","4.0725","4.0105","56.86K","-0.42%"
"2024-8-12","4.0685","3.9830","4.0930","3.9710","52.90K","1.89%"
"2024-8-9","3.9930","3.9835","4.0490","3.9740","52.31K","0.86%"
"2024-8-8","3.9590","3.9315","3.9840","3.9235","67.27K","0.18%"
"2024-8-7","3.9520","4.0080","4.0160","3.9210","65.90K","-1.86%"
"2024-8-6","4.0270","4.0040","4.0600","3.9600","58.44K","0.70%"
"2024-8-5","3.9990","4.1220","4.1500","3.9305","105.50K","-2.53%"
"2024-8-2","4.1030","4.0675","4.1345","4.0550","71.56K","0.50%"
"2024-8-1","4.0825","4.1945","4.2235","4.0550","82.91K","-2.25%"
"2024-7-31","4.1765","4.0950","4.2095","4.0865","64.34K","2.26%"
"2024-7-30","4.0840","4.0940","4.1000","4.0300","53.91K","0.52%"
"2024-7-29","4.0630","4.0945","4.1245","4.0420","0.86K","-1.04%"
"2024-7-26","4.1055","4.0925","4.1295","4.0855","0.96K","-0.10%"
"2024-7-25","4.1095","4.0500","4.1385","4.0300","0.85K","0.38%"
"2024-7-24","4.0940","4.1465","4.1465","4.0640","0.88K","-1.16%"
"2024-7-23","4.1420","4.1640","4.1640","4.1220","0.68K","-0.96%"
"2024-7-22","4.1820","4.2325","4.2360","4.1475","0.95K","-0.87%"
"2024-7-19","4.2185","4.2375","4.2710","4.2140","0.67K","-1.07%"
"2024-7-18","4.2640","4.4020","4.4070","4.2465","0.46K","-2.99%"
"2024-7-17","4.3955","4.4415","4.4585","4.3900","0.76K","-0.92%"
"2024-7-16","4.4365","4.5000","4.5065","4.4180","0.55K","-1.71%"
"2024-7-15","4.5135","4.5545","4.5815","4.4900","0.33K","-1.51%"
"2024-7-12","4.5825","4.4900","4.5855","4.4785","0.44K","1.91%"
"2024-7-11","4.4965","4.5805","4.6130","4.4945","0.92K","-2.27%"
"2024-7-10","4.6010","4.5745","4.6490","4.5455","0.60K","0.68%"
"2024-7-9","4.5700","4.6125","4.6445","4.5455","0.55K","-0.96%"
"2024-7-8","4.6145","4.6595","4.6670","4.5945","0.38K","-0.78%"
"2024-7-5","4.6510","4.5330","4.6965","4.5215","0.89K","1.97%"
"2024-7-4","4.5610","4.5320","4.5853","4.5137","","0.63%"
"2024-7-3","4.5325","4.4360","4.5580","4.4360","0.68K","2.58%"
"2024-7-2","4.4185","4.4065","4.4695","4.3920","0.64K","0.07%"
"2024-7-1","4.4155","4.3745","4.4345","4.3520","0.61K","0.70%"
"2024-6-28","4.3850","4.3240","4.4155","4.3240","1.03K","1.04%"
"2024-6-27","4.3400","4.3510","4.3780","4.3250","2.09K","-0.69%"
"2024-6-26","4.3700","4.3720","4.3985","4.3255","27.28K","-0.17%"
"2024-6-25","4.3775","4.4255","4.4550","4.3570","38.15K","-1.34%"
"2024-6-24","4.4370","4.4295","4.4550","4.4040","39.96K","-0.11%"
"2024-6-21","4.4420","4.5645","4.5645","4.4280","55.91K","-2.63%"
"2024-6-20","4.5620","4.4910","4.5890","4.4750","90.96K","1.33%"
"2024-6-19","4.5023","4.4908","4.5693","4.4750","","0.26%"
"2024-6-18","4.4905","4.4595","4.4990","4.3750","66.42K","0.97%"
"2024-6-17","4.4475","4.4965","4.5000","4.4000","50.95K","-1.06%"
"2024-6-14","4.4950","4.4870","4.5095","4.4415","49.24K","0.30%"
"2024-6-13","4.4815","4.5335","4.5650","4.4610","63.71K","-1.87%"
"2024-6-12","4.5670","4.5170","4.6125","4.5030","78.94K","1.26%"
"2024-6-11","4.5100","4.5585","4.5650","4.4425","75.97K","-0.74%"
"2024-6-10","4.5435","4.4475","4.5570","4.4310","60.28K","1.34%"
"2024-6-7","4.4835","4.6720","4.6850","4.4465","94.10K","-4.16%"
