"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-18","5,893.62","5,874.17","5,908.12","5,865.95","0.00K","0.39%"
"2024-11-15","5,870.62","5,912.79","5,915.32","5,853.01","","-1.32%"
"2024-11-14","5,949.17","5,989.68","5,993.88","5,942.28","","-0.60%"
"2024-11-13","5,985.38","5,985.75","6,008.19","5,965.91","","0.02%"
"2024-11-12","5,983.99","6,003.60","6,009.92","5,960.08","","-0.29%"
"2024-11-11","6,001.35","6,008.86","6,017.31","5,986.69","","0.10%"
"2024-11-8","5,995.54","5,976.76","6,012.45","5,976.76","","0.38%"
"2024-11-7","5,973.10","5,947.21","5,983.84","5,947.21","","0.74%"
"2024-11-6","5,929.04","5,864.89","5,936.14","5,864.89","","2.53%"
"2024-11-5","5,782.76","5,722.43","5,783.44","5,722.10","","1.23%"
"2024-11-4","5,712.69","5,725.15","5,741.43","5,696.51","","-0.28%"
"2024-11-1","5,728.80","5,723.22","5,772.52","5,723.22","","0.41%"
"2024-10-31","5,705.45","5,775.34","5,775.34","5,702.86","","-1.86%"
"2024-10-30","5,813.67","5,832.65","5,850.94","5,811.28","","-0.33%"
"2024-10-29","5,832.92","5,819.68","5,847.19","5,802.17","","0.16%"
"2024-10-28","5,823.52","5,833.93","5,842.92","5,823.08","","0.27%"
"2024-10-25","5,808.12","5,826.75","5,862.82","5,799.98","","-0.03%"
"2024-10-24","5,809.86","5,817.80","5,817.80","5,784.92","","0.21%"
"2024-10-23","5,797.42","5,834.50","5,834.85","5,762.41","","-0.92%"
"2024-10-22","5,851.20","5,832.70","5,863.04","5,821.17","","-0.05%"
"2024-10-21","5,853.98","5,857.82","5,866.92","5,824.79","","-0.18%"
"2024-10-18","5,864.67","5,859.43","5,872.17","5,846.11","","0.40%"
"2024-10-17","5,841.47","5,875.62","5,878.46","5,840.25","","-0.02%"
"2024-10-16","5,842.47","5,816.58","5,846.52","5,808.34","","0.47%"
"2024-10-15","5,815.26","5,866.74","5,870.36","5,804.48","","-0.76%"
"2024-10-14","5,859.85","5,829.81","5,871.41","5,829.57","","0.77%"
"2024-10-11","5,815.03","5,775.09","5,822.13","5,775.09","","0.61%"
"2024-10-10","5,780.05","5,778.36","5,795.03","5,764.76","","-0.21%"
"2024-10-9","5,792.04","5,751.80","5,796.80","5,745.02","","0.71%"
"2024-10-8","5,751.13","5,719.14","5,757.60","5,714.56","","0.97%"
"2024-10-7","5,695.94","5,737.80","5,739.34","5,686.85","","-0.96%"
"2024-10-4","5,751.07","5,737.48","5,753.21","5,702.83","","0.90%"
"2024-10-3","5,699.94","5,698.19","5,718.78","5,677.37","","-0.17%"
"2024-10-2","5,709.54","5,698.14","5,719.63","5,674.00","","0.01%"
"2024-10-1","5,708.75","5,757.73","5,757.73","5,681.28","","-0.93%"
"2024-9-30","5,762.48","5,726.52","5,765.14","5,703.53","","0.42%"
"2024-9-27","5,738.17","5,755.36","5,763.78","5,727.34","","-0.13%"
"2024-9-26","5,745.37","5,762.22","5,767.37","5,721.01","","0.40%"
"2024-9-25","5,722.26","5,733.65","5,741.03","5,712.06","","-0.19%"
"2024-9-24","5,732.93","5,727.66","5,735.32","5,698.99","","0.25%"
"2024-9-23","5,718.57","5,711.90","5,725.36","5,704.22","","0.28%"
"2024-9-20","5,702.55","5,709.64","5,715.14","5,674.49","","-0.19%"
"2024-9-19","5,713.64","5,702.63","5,733.57","5,686.42","","1.70%"
"2024-9-18","5,618.26","5,641.68","5,689.75","5,615.08","","-0.29%"
"2024-9-17","5,634.58","5,655.51","5,670.81","5,614.05","","0.03%"
"2024-9-16","5,633.09","5,615.21","5,636.05","5,604.53","","0.13%"
"2024-9-13","5,626.02","5,603.34","5,636.27","5,601.65","","0.54%"
"2024-9-12","5,595.76","5,557.48","5,600.71","5,535.50","","0.75%"
"2024-9-11","5,554.13","5,496.42","5,560.41","5,406.96","","1.07%"
"2024-9-10","5,495.52","5,490.51","5,497.91","5,441.72","","0.45%"
"2024-9-9","5,471.05","5,442.07","5,484.20","5,434.49","","1.16%"
"2024-9-6","5,408.42","5,507.33","5,522.47","5,402.62","","-1.73%"
"2024-9-5","5,503.41","5,520.08","5,546.30","5,480.54","","-0.30%"
