"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-19","0.9478","0.9439","0.9501","0.9433","","0.48%"
"2024-11-18","0.9433","0.9492","0.9497","0.9428","","-0.56%"
"2024-11-15","0.9486","0.9495","0.9509","0.9440","","-0.11%"
"2024-11-14","0.9496","0.9466","0.9527","0.9450","","0.33%"
"2024-11-13","0.9465","0.9414","0.9473","0.9386","","0.55%"
"2024-11-12","0.9413","0.9387","0.9439","0.9377","","0.32%"
"2024-11-11","0.9383","0.9334","0.9409","0.9321","","0.58%"
"2024-11-8","0.9329","0.9255","0.9357","0.9254","","0.81%"
"2024-11-7","0.9254","0.9321","0.9335","0.9238","","-0.71%"
"2024-11-6","0.9320","0.9148","0.9362","0.9143","","1.89%"
"2024-11-5","0.9147","0.9190","0.9198","0.9144","","-0.50%"
"2024-11-4","0.9193","0.9197","0.9200","0.9163","","-0.40%"
"2024-11-1","0.9230","0.9189","0.9232","0.9170","","0.46%"
"2024-10-31","0.9188","0.9212","0.9222","0.9185","","-0.25%"
"2024-10-30","0.9211","0.9244","0.9253","0.9199","","-0.35%"
"2024-10-29","0.9243","0.9249","0.9286","0.9237","","-0.05%"
"2024-10-28","0.9248","0.9262","0.9275","0.9235","","-0.15%"
"2024-10-25","0.9262","0.9236","0.9265","0.9225","","0.29%"
"2024-10-24","0.9235","0.9274","0.9286","0.9234","","-0.41%"
"2024-10-23","0.9273","0.9260","0.9293","0.9253","","0.16%"
"2024-10-22","0.9258","0.9246","0.9265","0.9226","","0.13%"
"2024-10-21","0.9246","0.9207","0.9250","0.9197","","0.48%"
"2024-10-18","0.9202","0.9233","0.9238","0.9200","","-0.32%"
"2024-10-17","0.9232","0.9207","0.9250","0.9197","","0.28%"
"2024-10-16","0.9206","0.9182","0.9214","0.9173","","0.27%"
"2024-10-15","0.9181","0.9167","0.9190","0.9160","","0.16%"
"2024-10-14","0.9166","0.9147","0.9184","0.9143","","0.26%"
"2024-10-11","0.9142","0.9147","0.9153","0.9129","","-0.02%"
"2024-10-10","0.9144","0.9141","0.9175","0.9128","","0.03%"
"2024-10-9","0.9141","0.9107","0.9143","0.9106","","0.40%"
"2024-10-8","0.9105","0.9111","0.9123","0.9093","","-0.05%"
"2024-10-7","0.9110","0.9111","0.9129","0.9102","","0.01%"
"2024-10-4","0.9109","0.9064","0.9132","0.9057","","0.49%"
"2024-10-3","0.9065","0.9054","0.9085","0.9050","","0.13%"
"2024-10-2","0.9053","0.9036","0.9064","0.9022","","0.21%"
"2024-10-1","0.9034","0.8981","0.9054","0.8973","","0.59%"
"2024-9-30","0.8981","0.8961","0.8998","0.8921","","0.27%"
"2024-9-27","0.8957","0.8947","0.8989","0.8926","","0.11%"
"2024-9-26","0.8947","0.8982","0.8989","0.8937","","-0.38%"
"2024-9-25","0.8981","0.8945","0.8992","0.8917","","0.41%"
