"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-18","43,389.60","43,431.89","43,505.66","43,297.57","527.18M","-0.13%"
"2024-11-15","43,444.99","43,587.93","43,647.53","43,350.43","664.32M","-0.70%"
"2024-11-14","43,750.86","44,032.38","44,080.78","43,704.82","545.09M","-0.47%"
"2024-11-13","43,958.19","43,880.46","44,141.33","43,829.98","518.84M","0.11%"
"2024-11-12","43,910.98","44,359.21","44,405.73","43,887.27","482.72M","-0.86%"
"2024-11-11","44,293.13","44,057.65","44,486.70","44,057.65","451.95M","0.69%"
"2024-11-8","43,988.99","43,768.53","44,157.29","43,733.86","454.58M","0.59%"
"2024-11-7","43,729.34","43,718.92","43,823.10","43,641.92","437.52M","0.00%"
"2024-11-6","43,729.93","42,850.40","43,778.78","42,850.40","555.81M","3.57%"
"2024-11-5","42,221.88","41,835.49","42,258.84","41,766.96","284.00M","1.02%"
"2024-11-4","41,794.60","42,004.66","42,035.87","41,647.30","341.51M","-0.61%"
"2024-11-1","42,052.19","41,869.82","42,326.31","41,869.82","531.36M","0.69%"
"2024-10-31","41,763.46","41,956.34","41,991.91","41,704.63","523.87M","-0.90%"
"2024-10-30","42,141.54","42,249.81","42,457.92","42,141.54","377.43M","-0.22%"
"2024-10-29","42,233.05","42,323.48","42,491.86","42,171.65","373.55M","-0.36%"
"2024-10-28","42,387.57","42,264.54","42,476.46","42,264.54","284.78M","0.65%"
"2024-10-25","42,114.40","42,477.51","42,594.64","42,051.39","314.00M","-0.61%"
"2024-10-24","42,374.36","42,522.55","42,522.55","42,191.83","282.68M","-0.33%"
"2024-10-23","42,514.95","42,834.40","42,834.40","42,293.17","356.62M","-0.96%"
"2024-10-22","42,924.89","42,876.84","43,041.05","42,718.26","335.20M","-0.02%"
"2024-10-21","42,931.60","43,222.21","43,310.87","42,877.57","273.60M","-0.80%"
"2024-10-18","43,275.91","43,187.12","43,325.09","43,036.35","295.51M","0.09%"
"2024-10-17","43,239.05","43,119.81","43,289.76","43,119.81","276.01M","0.37%"
"2024-10-16","43,077.70","42,706.49","43,100.84","42,692.37","297.51M","0.79%"
"2024-10-15","42,740.42","43,240.17","43,277.78","42,703.17","360.88M","-0.75%"
"2024-10-14","43,065.22","42,800.89","43,139.00","42,707.14","240.06M","0.47%"
"2024-10-11","42,863.86","42,507.53","42,899.75","42,507.53","265.33M","0.97%"
"2024-10-10","42,454.12","42,511.37","42,511.37","42,308.04","245.58M","-0.14%"
"2024-10-9","42,512.00","42,070.32","42,562.01","41,993.35","267.41M","1.03%"
"2024-10-8","42,080.37","42,022.65","42,128.56","41,874.72","286.52M","0.30%"
"2024-10-7","41,954.24","42,289.51","42,293.64","41,831.74","307.24M","-0.94%"
"2024-10-4","42,352.75","42,248.26","42,361.38","41,972.11","296.55M","0.81%"
"2024-10-3","42,011.59","42,099.53","42,125.84","41,847.81","267.27M","-0.44%"
"2024-10-2","42,196.52","42,125.14","42,259.52","41,968.79","301.77M","0.09%"
"2024-10-1","42,156.97","42,262.97","42,322.36","41,945.63","380.24M","-0.41%"
"2024-9-30","42,330.15","42,289.75","42,347.66","41,929.07","354.43M","0.04%"
"2024-9-27","42,313.00","42,227.95","42,628.32","42,227.95","329.85M","0.33%"
"2024-9-26","42,175.11","42,113.42","42,224.15","42,036.28","361.21M","0.62%"
"2024-9-25","41,914.75","42,236.09","42,299.64","41,859.73","385.16M","-0.70%"
"2024-9-24","42,208.22","42,234.99","42,281.06","42,056.82","401.02M","0.20%"
"2024-9-23","42,124.65","42,060.40","42,190.05","42,012.22","455.20M","0.15%"
"2024-9-20","42,063.36","41,959.43","42,138.41","41,865.95","1.22B","0.09%"
"2024-9-19","42,025.19","41,972.56","42,160.91","41,832.09","436.23M","1.26%"
"2024-9-18","41,503.10","41,628.91","41,981.97","41,449.00","383.60M","-0.25%"
"2024-9-17","41,606.18","41,723.78","41,835.28","41,470.69","448.62M","-0.04%"
"2024-9-16","41,622.08","41,435.17","41,733.97","41,435.17","408.68M","0.55%"
"2024-9-13","41,393.78","41,153.70","41,533.84","41,128.70","276.81M","0.72%"
"2024-9-12","41,096.77","40,862.11","41,107.35","40,665.53","289.30M","0.58%"
"2024-9-11","40,861.71","40,638.76","40,903.68","39,993.07","356.05M","0.31%"
"2024-9-10","40,736.96","40,916.50","40,916.50","40,417.48","360.96M","-0.23%"
"2024-9-9","40,829.59","40,555.11","41,000.24","40,518.06","376.72M","1.20%"
"2024-9-6","40,345.41","40,756.81","41,009.39","40,297.33","370.44M","-1.01%"
"2024-9-5","40,755.75","41,056.33","41,084.78","40,519.08","331.26M","-0.54%"
"2024-9-4","40,974.97","40,872.06","41,172.59","40,840.89","359.39M","0.09%"
"2024-9-3","40,936.93","41,489.67","41,489.67","40,778.09","420.53M","-1.51%"
"2024-8-30","41,563.08","41,366.16","41,585.21","41,145.85","494.90M","0.55%"
"2024-8-29","41,335.05","41,345.50","41,577.97","41,086.81","309.83M","0.59%"
